ANSYS PE Ratio Historical Data,ANSYS PE Ratio Historical Data,ANSYS PE Ratio Historical Data,ANSYS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,321.42,,56.79
2024-06-30,321.5,$5.66,56.8
2024-03-31,347.16,$4.98,69.71
2023-12-31,362.88,$5.73,63.33
2023-09-30,297.55,$5.54,53.71
2023-06-30,330.27,$6.00,55.05
2023-03-31,332.8,$6.33,52.58
2022-12-31,241.59,$5.99,40.33
2022-09-30,221.7,$5.34,41.52
2022-06-30,239.29,$5.21,45.93
2022-03-31,317.65,$5.14,61.8
2021-12-31,401.12,$5.15,77.89
2021-09-30,340.45,$5.31,64.11
2021-06-30,347.06,$5.21,66.61
2021-03-31,339.56,$5.26,64.56
2020-12-31,363.8,$4.97,73.2
2020-09-30,327.23,$4.42,74.03
2020-06-30,291.73,$4.59,63.56
2020-03-31,232.47,$4.76,48.84
2019-12-31,257.41,$5.24,49.12
2019-09-30,221.36,$5.12,43.23
2019-06-30,204.82,$5.12,40.0
2019-03-31,182.71,$4.92,37.14
2018-12-31,142.94,$4.89,29.23
2018-09-30,186.68,$3.71,50.32
2018-06-30,174.18,$3.52,49.48
2018-03-31,156.69,$3.17,49.43
2017-12-31,147.59,$2.99,49.36
2017-09-30,122.73,$3.16,38.84
2017-03-31,106.87,$3.09,34.59
2016-12-31,92.49,$2.99,30.93
2016-09-30,92.61,$2.94,31.5
2016-06-30,90.75,$2.88,31.51
2016-03-31,89.46,$2.78,32.18
2015-12-31,92.5,$2.76,33.51
2015-09-30,88.14,$2.75,32.05
2015-06-30,91.24,$2.73,33.42
2015-03-31,88.19,$2.72,32.42
2014-12-31,82.0,$2.91,28.18
2014-09-30,75.67,$2.77,27.32
2014-06-30,75.82,$2.87,26.42
2017-06-30,121.68,$2.86,42.55
2014-03-31,77.02,$2.65,29.06
2013-12-31,87.2,$2.59,33.67
2013-09-30,86.52,$2.38,36.35
2013-06-30,73.1,$2.26,32.35
2013-03-31,81.42,$2.20,37.01
2012-12-31,67.34,$2.14,31.47
2012-09-30,73.4,$2.05,35.8
2012-06-30,63.11,$1.99,31.71
2012-03-31,65.02,$1.94,33.52
2011-12-31,57.28,$1.91,29.99
2011-09-30,49.04,$1.93,25.41
2011-06-30,54.67,$1.84,29.71
2011-03-31,54.19,$1.74,31.14
2010-12-31,52.07,$1.70,30.63
2010-09-30,42.25,$1.51,27.98
2010-06-30,40.57,$1.42,28.57
2009-12-31,43.46,$1.27,34.22
2009-09-30,37.42,$1.21,30.93
