Guidewire Software PE Ratio Historical Data,Guidewire Software PE Ratio Historical Data,Guidewire Software PE Ratio Historical Data,Guidewire Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,189.14,,0.0
2024-07-31,150.07,$-0.08,0.0
2024-04-30,110.4,$-0.13,0.0
2024-01-31,111.68,$-0.62,0.0
2023-10-31,90.13,$-0.85,0.0
2023-07-31,84.82,$-1.35,0.0
2023-04-30,76.19,$-1.87,0.0
2023-01-31,73.24,$-2.00,0.0
2022-10-31,59.41,$-2.38,0.0
2022-07-31,77.72,$-2.17,0.0
2022-04-30,86.94,$-1.81,0.0
2022-01-31,100.84,$-1.56,0.0
2021-10-31,125.73,$-1.31,0.0
2021-07-31,115.2,$-0.23,0.0
2021-04-30,105.51,$-0.59,0.0
2020-10-31,96.11,$-0.39,0.0
2020-07-31,117.66,$-0.33,0.0
2020-04-30,90.84,$-0.51,0.0
2020-01-31,112.5,$-0.24,0.0
2019-10-31,112.74,$-0.11,0.0
2019-07-31,102.08,$0.08,1276.0
2021-01-31,114.74,$-0.13,0.0
2019-04-30,106.5,$0.99,107.58
2019-01-31,86.68,$0.48,180.58
2018-10-31,88.97,$-0.12,0.0
2018-07-31,86.2,$-0.31,0.0
2018-04-30,84.62,$-0.97,0.0
2018-01-31,79.45,$-0.37,0.0
2017-10-31,79.98,$0.27,296.22
2017-07-31,72.16,$0.28,257.71
2017-04-30,61.49,$0.14,439.21
2017-01-31,52.33,$0.15,348.87
2016-10-31,57.45,$0.11,522.27
2016-07-31,61.47,$0.20,307.35
2016-04-30,56.97,$0.14,406.93
2016-01-31,55.04,$0.11,500.36
2015-10-31,58.23,$0.16,363.94
2015-07-31,59.05,$0.14,421.79
2015-04-30,49.95,$0.26,192.12
2015-01-31,50.1,$0.28,178.93
2014-10-31,49.94,$0.21,237.81
2014-07-31,40.5,$0.07,578.57
2014-04-30,37.76,$-0.02,0.0
2014-01-31,47.21,$-0.05,0.0
2013-10-31,50.72,$0.05,1014.4
2013-07-31,43.76,$0.24,182.33
2013-04-30,40.08,$0.11,364.36
2013-01-31,33.12,$0.21,157.71
2012-10-31,30.64,$0.18,170.22
