Forward Air PE Ratio Historical Data,Forward Air PE Ratio Historical Data,Forward Air PE Ratio Historical Data,Forward Air PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.16,,0.0
2024-06-30,19.04,$-20.81,0.0
2024-03-31,31.11,$3.42,9.1
2023-12-31,62.87,$6.42,9.79
2023-09-30,68.49,$4.09,16.74
2023-06-30,105.33,$5.66,18.61
2023-03-31,106.69,$6.94,15.37
2022-12-31,103.61,$7.05,14.7
2022-09-30,88.97,$6.31,14.1
2022-06-30,90.44,$5.49,16.47
2021-12-31,118.5,$3.85,30.78
2021-09-30,81.09,$2.20,36.86
2021-06-30,87.45,$2.91,30.05
2021-03-31,86.34,$2.40,35.97
2020-12-31,74.53,$2.11,35.32
2022-03-31,95.91,$2.58,37.18
2020-09-30,55.5,$1.86,29.84
2020-06-30,48.04,$2.04,23.55
2020-03-31,48.65,$2.71,17.95
2019-12-31,66.98,$3.05,21.96
2019-09-30,60.86,$3.15,19.32
2019-06-30,56.33,$3.13,18.0
2019-03-31,61.45,$3.17,19.39
2018-12-31,51.92,$3.13,16.59
2018-09-30,67.68,$3.36,20.14
2018-06-30,55.63,$3.20,17.39
2018-03-31,49.65,$3.02,16.44
2017-12-31,53.81,$2.89,18.62
2017-09-30,53.46,$2.13,25.1
2017-06-30,49.63,$1.20,41.36
2017-03-31,44.18,$0.99,44.62
2016-12-31,43.86,$1.27,34.54
2016-06-30,40.99,$1.35,30.36
2016-03-31,41.6,$2.06,20.2
2015-12-31,39.37,$1.79,21.99
2015-09-30,37.88,$1.43,26.49
2015-06-30,47.59,$1.48,32.16
2015-03-31,49.34,$1.64,30.09
2016-09-30,39.92,$2.03,19.67
2014-12-31,45.66,$1.97,23.18
2014-09-30,40.54,$1.92,21.11
2014-06-30,43.16,$1.84,23.46
2014-03-31,41.48,$1.74,23.84
2013-12-31,39.39,$1.77,22.25
2013-09-30,36.09,$1.81,19.94
2013-06-30,34.17,$1.76,19.41
2013-03-31,33.2,$1.79,18.55
2012-12-31,31.08,$1.78,17.46
2012-09-30,26.92,$1.74,15.47
2012-06-30,28.48,$1.77,16.09
2012-03-31,32.29,$1.69,19.11
2011-12-31,28.16,$1.61,17.49
2011-09-30,22.31,$1.52,14.68
2011-06-30,29.54,$1.39,21.25
2011-03-31,26.72,$1.26,21.21
2010-12-31,24.7,$1.11,22.25
2010-09-30,22.57,$0.92,24.53
2010-06-30,23.59,$0.74,31.88
2010-03-31,22.71,$0.57,39.84
2009-12-31,21.55,$0.34,63.39
