Celestica PE Ratio Historical Data,Celestica PE Ratio Historical Data,Celestica PE Ratio Historical Data,Celestica PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,58.18,,19.08
2024-06-30,57.33,$3.05,18.8
2024-03-31,44.94,$2.68,16.77
2023-12-31,29.28,$2.03,14.42
2023-09-30,24.52,$1.68,14.6
2023-06-30,14.5,$1.38,10.51
2023-03-31,12.9,$1.21,10.66
2022-12-31,11.27,$1.18,9.55
2022-09-30,8.41,$1.09,7.72
2022-06-30,9.72,$1.00,9.72
2022-03-31,11.91,$0.92,12.95
2021-12-31,11.13,$0.83,13.41
2021-09-30,8.88,$0.73,12.16
2021-06-30,7.85,$0.69,11.38
2021-03-31,8.37,$0.58,14.43
2020-12-31,8.07,$0.48,16.81
2020-09-30,6.9,$0.27,25.56
2020-06-30,6.83,$-0.02,0.0
2020-03-31,3.5,$-0.17,0.0
2019-12-31,8.27,$0.51,16.22
2019-09-30,7.17,$1.00,7.17
2019-06-30,6.83,$1.11,6.15
2019-03-31,8.45,$1.27,6.65
2018-12-31,8.77,$0.71,12.35
2018-09-30,10.83,$0.37,29.27
2018-06-30,11.87,$0.54,21.98
2018-03-31,10.35,$0.67,15.45
2017-12-31,10.48,$0.73,14.36
2017-09-30,12.38,$0.78,15.87
2017-06-30,13.58,$0.92,14.76
2017-03-31,14.53,$0.93,15.62
2016-12-31,11.85,$0.95,12.47
2016-09-30,10.83,$0.88,12.31
2016-06-30,9.3,$0.59,15.76
2016-03-31,10.98,$0.48,22.88
2015-12-31,11.03,$0.41,26.9
2015-09-30,12.89,$0.30,42.97
2015-06-30,11.64,$0.41,28.39
2015-03-31,11.11,$0.49,22.67
2014-12-31,11.74,$0.58,20.24
2014-09-30,10.15,$0.73,13.9
2014-06-30,12.56,$0.85,14.78
2014-03-31,10.95,$0.78,14.04
2013-12-31,10.4,$0.64,16.25
2013-09-30,11.03,$0.56,19.7
2013-06-30,9.45,$0.46,20.54
2013-03-31,8.09,$0.42,19.26
2012-12-31,8.15,$0.56,14.55
2012-09-30,7.14,$0.84,8.5
2012-06-30,7.26,$0.86,8.44
2012-03-31,9.57,$0.96,9.97
2011-12-31,7.33,$0.90,8.14
2011-09-30,7.25,$0.69,10.51
2011-06-30,8.76,$0.61,14.36
2011-03-31,10.72,$0.37,28.97
2010-12-31,9.7,$0.34,28.53
2010-09-30,8.43,$0.36,23.42
2010-06-30,8.06,$0.21,38.38
2010-03-31,10.93,$0.26,42.04
2009-12-31,9.44,$0.23,41.04
