Grupo Aeroportuario Del Centro Norte S.A.B De C.V PE Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V PE Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V PE Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,69.04,,11.74
2024-06-30,67.65,$5.88,11.51
2024-03-31,76.77,$5.97,12.86
2023-12-31,82.14,$5.97,13.76
2023-09-30,84.36,$5.64,14.96
2023-06-30,81.84,$5.11,16.01
2023-03-31,84.18,$4.52,18.62
2022-12-31,56.96,$4.06,14.03
2022-09-30,46.18,$3.89,11.87
2022-06-30,46.68,$3.57,13.08
2022-03-31,52.67,$3.26,16.16
2021-12-31,43.83,$2.89,15.17
2021-09-30,36.86,$2.09,17.63
2021-06-30,41.07,$1.34,30.65
2021-03-31,39.74,$0.54,73.6
2020-12-31,40.65,$0.97,41.91
2020-09-30,28.92,$1.56,18.54
2020-06-30,29.22,$2.39,12.23
2020-03-31,21.19,$3.45,6.14
2019-12-31,47.15,$3.40,13.87
2019-09-30,37.41,$3.42,10.94
2019-06-30,38.45,$3.31,11.62
2019-03-31,34.29,$3.15,10.88
2018-12-31,28.91,$3.03,9.54
2018-09-30,43.31,$2.83,15.3
2018-06-30,31.67,$2.71,11.69
2018-03-31,28.77,$2.54,11.33
2017-12-31,30.28,$2.32,13.05
2017-09-30,32.4,$2.24,14.47
2017-06-30,35.17,$2.08,16.91
2017-03-31,30.34,$2.01,15.1
2016-12-31,24.27,$1.98,12.26
2016-09-30,33.07,$1.88,17.59
2016-06-30,33.34,$1.74,19.16
2016-03-31,30.91,$1.60,19.32
2015-12-31,26.07,$1.52,17.15
2015-09-30,26.89,$1.44,18.68
2015-06-30,26.61,$1.49,17.86
2015-03-31,26.38,$1.46,18.07
2014-12-31,24.64,$1.52,16.21
2014-09-30,23.95,$1.84,13.02
2014-06-30,21.87,$1.78,12.29
2014-03-31,19.63,$1.78,11.03
2013-12-31,18.1,$1.75,10.35
2013-09-30,17.46,$1.45,12.04
2013-06-30,16.97,$1.44,11.79
2013-03-31,20.74,$1.35,15.37
2012-12-31,13.51,$1.27,10.64
2012-09-30,11.15,$1.23,9.06
2012-06-30,10.19,$1.10,9.26
2012-03-31,9.41,$1.08,8.71
2011-12-31,7.28,$1.12,6.5
2011-09-30,7.46,$1.35,5.53
2011-06-30,9.87,$1.32,7.48
2011-03-31,8.48,$1.23,6.89
2010-12-31,8.61,$1.07,8.05
2010-09-30,8.05,$0.73,11.02
2010-06-30,6.92,$0.74,9.35
2010-03-31,8.13,$0.69,11.78
2009-12-31,7.11,$0.73,9.74
