Patterson PE Ratio Historical Data,Patterson PE Ratio Historical Data,Patterson PE Ratio Historical Data,Patterson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.1,,11.53
2024-07-31,25.25,$1.83,13.8
2024-04-30,25.21,$2.00,12.6
2024-01-31,29.25,$2.03,14.41
2023-10-31,29.59,$2.06,14.36
2023-07-31,31.68,$2.19,14.46
2023-04-30,25.9,$2.12,12.22
2023-01-31,28.57,$2.00,14.29
2022-10-31,24.36,$2.03,12.0
2022-07-31,28.84,$1.97,14.64
2022-04-30,28.33,$2.07,13.69
2022-01-31,26.22,$1.72,15.24
2021-10-31,28.3,$1.64,17.26
2021-07-31,27.96,$1.71,16.35
2021-04-30,28.62,$1.61,17.77
2021-01-31,27.98,$-5.13,0.0
2020-10-31,21.8,$-5.39,0.0
2020-07-31,23.06,$-6.30,0.0
2020-04-30,15.7,$-6.23,0.0
2020-01-31,18.58,$0.51,36.44
2019-10-31,14.29,$0.60,23.82
2019-07-31,16.26,$1.26,12.91
2019-04-30,17.72,$0.89,19.91
2019-01-31,17.87,$0.82,21.8
2018-10-31,17.89,$1.67,10.71
2018-07-31,19.21,$1.79,10.73
2018-04-30,18.03,$2.17,8.31
2018-01-31,27.49,$2.59,10.61
2017-10-31,28.14,$1.67,16.85
2017-07-31,31.51,$1.72,18.32
2017-04-30,33.4,$2.07,16.14
2017-01-31,31.06,$2.01,15.45
2016-10-31,31.69,$2.11,15.02
2016-04-30,31.84,$1.93,16.5
2016-01-31,31.02,$1.90,16.33
2015-10-31,34.46,$1.71,20.15
2015-07-31,36.29,$1.90,19.1
2015-04-30,33.82,$2.14,15.8
2016-07-31,36.43,$1.99,18.31
2015-01-31,35.91,$2.14,16.78
2014-10-31,30.78,$2.15,14.32
2014-07-31,27.72,$2.02,13.72
2014-04-30,28.78,$1.97,14.61
2014-01-31,28.12,$2.04,13.78
2013-10-31,29.8,$2.00,14.9
2013-07-31,28.55,$2.03,14.06
2013-04-30,26.39,$2.03,13.0
2013-01-31,25.01,$1.99,12.57
2012-10-31,23.03,$1.97,11.69
2012-07-31,23.42,$1.96,11.95
2012-04-30,23.32,$1.93,12.08
2012-01-31,21.92,$1.88,11.66
2011-10-31,21.34,$1.85,11.54
2011-07-31,20.83,$1.87,11.14
2011-04-30,23.36,$1.90,12.3
2011-01-31,22.17,$1.89,11.73
2010-10-31,18.48,$1.89,9.78
2010-07-31,17.77,$1.85,9.61
2010-04-30,21.22,$1.78,11.92
2010-01-31,18.9,$1.72,10.99
2009-10-31,16.89,$1.70,9.94
