Madrigal Pharmaceuticals PE Ratio Historical Data,Madrigal Pharmaceuticals PE Ratio Historical Data,Madrigal Pharmaceuticals PE Ratio Historical Data,Madrigal Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,210.47,,0.0
2024-06-30,280.16,$-25.50,0.0
2024-03-31,267.04,$-23.09,0.0
2023-12-31,231.38,$-19.94,0.0
2023-09-30,146.04,$-19.24,0.0
2023-06-30,231.0,$-18.65,0.0
2023-03-31,242.26,$-18.10,0.0
2022-12-31,290.25,$-17.23,0.0
2022-09-30,64.99,$-16.03,0.0
2022-06-30,71.58,$-15.07,0.0
2022-03-31,98.12,$-14.65,0.0
2021-12-31,84.74,$-14.61,0.0
2021-09-30,79.79,$-14.65,0.0
2021-06-30,97.41,$-14.61,0.0
2021-03-31,116.97,$-14.07,0.0
2020-12-31,111.17,$-13.09,0.0
2020-09-30,118.73,$-11.07,0.0
2020-06-30,113.25,$-8.71,0.0
2020-03-31,66.76,$-6.81,0.0
2019-12-31,91.11,$-5.45,0.0
2019-09-30,86.22,$-4.40,0.0
2019-06-30,104.81,$-3.57,0.0
2019-03-31,125.26,$-2.74,0.0
2018-12-31,112.72,$-2.21,0.0
2018-09-30,214.13,$-2.13,0.0
2018-06-30,279.69,$-2.25,0.0
2018-03-31,116.79,$-2.49,0.0
2017-12-31,91.79,$-2.54,0.0
2017-09-30,44.98,$-2.54,0.0
2017-06-30,16.26,$-3.20,0.0
2017-03-31,15.4,$-3.21,0.0
2016-12-31,14.9,$-4.46,0.0
2016-09-30,12.68,$-6.58,0.0
2016-06-30,9.11,$-9.79,0.0
2016-03-31,8.4,$-14.34,0.0
2015-12-31,12.32,$-19.23,0.0
2015-09-30,60.9,$-23.08,0.0
2015-06-30,78.05,$-25.18,0.0
2015-03-31,67.9,$-28.32,0.0
2014-12-31,92.75,$-31.47,0.0
2014-09-30,105.35,$-35.66,0.0
2014-06-30,143.15,$-40.56,0.0
2014-03-31,150.85,$-43.71,0.0
2013-12-31,183.4,$-44.41,0.0
2013-09-30,220.85,$-43.71,0.0
2013-06-30,174.65,$-40.91,0.0
2013-03-31,301.0,$-38.11,0.0
2012-12-31,315.7,$-37.06,0.0
2012-09-30,266.7,$-34.62,0.0
2012-06-30,191.45,$-36.36,0.0
2012-03-31,153.65,$-38.11,0.0
2011-12-31,163.45,$-38.11,0.0
2011-09-30,113.75,$-37.76,0.0
2011-06-30,176.05,$-36.01,0.0
2011-03-31,184.1,$-33.22,0.0
2010-12-31,214.2,$-32.17,0.0
2010-09-30,139.65,$-32.17,0.0
2010-06-30,94.5,$98.25,0.96
2010-03-31,150.85,$97.20,1.55
2009-12-31,177.1,$81.47,2.17
