Mirum Pharmaceuticals PE Ratio Historical Data,Mirum Pharmaceuticals PE Ratio Historical Data,Mirum Pharmaceuticals PE Ratio Historical Data,Mirum Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.32,,0.0
2024-06-30,34.19,$-2.29,0.0
2024-03-31,25.12,$-3.71,0.0
2023-12-31,29.52,$-3.97,0.0
2023-09-30,31.6,$-4.30,0.0
2023-06-30,25.87,$-4.75,0.0
2023-03-31,24.02,$-3.65,0.0
2022-12-31,19.5,$-4.02,0.0
2022-09-30,21.01,$-1.12,0.0
2022-06-30,19.46,$-1.65,0.0
2022-03-31,22.02,$-2.49,0.0
2021-12-31,15.95,$-2.75,0.0
2021-09-30,19.92,$-5.52,0.0
2021-03-31,19.82,$-4.90,0.0
2020-12-31,17.46,$-4.08,0.0
2020-09-30,19.27,$-3.44,0.0
2020-06-30,19.46,$-3.42,0.0
2020-03-31,14.0,$-3.94,0.0
