CNX Resources PE Ratio Historical Data,CNX Resources PE Ratio Historical Data,CNX Resources PE Ratio Historical Data,CNX Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.05,,11.96
2024-06-30,24.3,$2.93,8.29
2024-03-31,23.72,$5.52,4.3
2023-12-31,20.0,$9.09,2.2
2023-09-30,22.58,$11.88,1.9
2023-06-30,17.72,$9.48,1.87
2023-03-31,16.02,$7.16,2.24
2022-12-31,16.84,$-1.07,0.0
2022-09-30,15.53,$-3.85,0.0
2022-06-30,16.46,$-5.62,0.0
2022-03-31,20.72,$-7.38,0.0
2021-12-31,13.75,$-2.33,0.0
2021-09-30,12.62,$-4.36,0.0
2021-06-30,13.66,$-1.34,0.0
2021-03-31,14.7,$-0.51,0.0
2020-12-31,10.8,$-2.70,0.0
2020-09-30,9.44,$-5.02,0.0
2020-06-30,8.65,$-3.38,0.0
2020-03-31,5.32,$-1.76,0.0
2019-12-31,8.85,$-0.44,0.0
2019-09-30,7.26,$1.51,4.81
2019-06-30,7.31,$1.49,4.91
2019-03-31,10.77,$0.84,12.82
2018-12-31,11.42,$3.63,3.15
2018-09-30,14.31,$4.34,3.3
2018-06-30,17.78,$3.64,4.88
2018-03-31,15.43,$4.18,3.69
2017-12-31,14.63,$1.66,8.81
2017-09-30,16.94,$-0.88,0.0
2017-06-30,14.94,$-0.66,0.0
2017-03-31,16.78,$-3.44,0.0
2016-12-31,18.23,$-3.70,0.0
2016-09-30,19.2,$-2.24,0.0
2016-06-30,16.09,$-1.83,0.0
2016-03-31,11.29,$-2.42,0.0
2015-12-31,7.89,$-1.65,0.0
2015-09-30,9.77,$-1.46,0.0
2015-06-30,21.67,$-1.99,0.0
2015-03-31,27.75,$0.54,51.38
2014-12-31,33.57,$0.70,47.96
2014-09-30,37.53,$3.58,10.48
2014-06-30,45.6,$3.31,13.78
2014-03-31,39.48,$3.37,11.72
2013-12-31,37.53,$2.86,13.12
2013-09-30,33.09,$0.31,106.74
2013-06-30,26.54,$0.54,49.15
2013-03-31,32.84,$1.26,26.06
2012-12-31,31.33,$1.69,18.54
2012-09-30,29.11,$1.89,15.4
2012-06-30,29.18,$2.67,10.93
2012-03-31,32.78,$2.34,14.01
2011-12-31,35.17,$2.76,12.74
2011-09-30,32.42,$2.37,13.68
2011-06-30,46.2,$1.97,23.45
2011-03-31,51.0,$1.92,26.56
2010-12-31,46.26,$1.62,28.55
2010-09-30,34.99,$1.94,18.04
2010-06-30,31.88,$2.09,15.25
2010-03-31,40.18,$2.42,16.6
2009-12-31,46.8,$2.96,15.81
