NIKE PE Ratio Historical Data,NIKE PE Ratio Historical Data,NIKE PE Ratio Historical Data,NIKE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,83.32,,22.34
2024-05-31,95.05,$3.73,25.48
2024-02-29,103.55,$3.40,30.46
2023-11-30,109.51,$3.42,32.02
2023-08-31,100.68,$3.24,31.07
2023-05-31,103.86,$3.23,32.16
2023-02-28,116.89,$3.47,33.68
2022-11-30,107.61,$3.55,30.31
2022-08-31,104.13,$3.53,29.5
2022-05-31,115.96,$3.76,30.84
2022-02-28,132.93,$3.79,35.07
2021-11-30,164.45,$3.82,43.05
2021-08-31,160.08,$3.77,42.46
2021-05-31,132.38,$3.56,37.19
2021-02-28,130.49,$2.12,61.55
2020-11-30,129.89,$1.75,74.22
2020-08-31,107.89,$1.67,64.61
2020-05-31,94.85,$1.58,60.03
2020-02-29,85.79,$2.71,31.66
2019-11-30,89.49,$2.86,31.29
2019-08-31,80.67,$2.68,30.1
2019-05-31,73.45,$2.49,29.5
2019-02-28,81.19,$2.56,31.72
2018-11-30,71.14,$1.31,54.31
2018-08-31,77.62,$1.25,62.1
2018-05-31,67.45,$1.15,58.65
2018-02-28,62.78,$1.06,59.23
2017-11-30,56.4,$2.31,24.42
2017-08-31,49.3,$2.35,20.98
2017-05-31,49.13,$2.51,19.57
2017-02-28,52.83,$2.40,22.01
2016-11-30,46.11,$2.27,20.31
2016-08-31,52.94,$2.22,23.85
2016-05-31,50.57,$2.16,23.41
2016-02-29,56.26,$2.16,26.04
2015-11-30,60.27,$2.06,29.33
2015-08-31,50.78,$1.98,25.71
2015-05-31,46.2,$1.85,24.97
2015-02-28,44.01,$1.75,25.15
2014-11-30,44.74,$1.69,26.55
2014-08-31,35.39,$1.61,21.98
2014-05-31,34.55,$1.50,23.11
2014-02-28,35.06,$1.47,23.85
2013-11-30,35.22,$1.57,22.51
2013-08-31,27.96,$1.48,18.89
2013-05-31,27.35,$1.36,20.15
2013-02-28,24.08,$1.29,18.74
2012-11-30,21.37,$1.11,19.26
2012-08-31,21.35,$1.15,18.56
2012-05-31,23.63,$1.18,19.99
2012-02-29,23.42,$1.20,19.52
2011-11-30,20.79,$1.17,17.77
2011-08-31,18.67,$1.16,16.16
2011-05-31,18.12,$1.10,16.48
2011-02-28,19.04,$1.06,18.05
2010-11-30,18.36,$1.04,17.69
2010-08-31,14.86,$0.99,14.98
2010-05-31,15.31,$0.97,15.83
2010-02-28,14.24,$0.88,16.23
2009-11-30,13.62,$0.75,18.15
