Ciena PE Ratio Historical Data,Ciena PE Ratio Historical Data,Ciena PE Ratio Historical Data,Ciena PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.51,,70.76
2024-07-31,52.74,$0.94,56.11
2024-04-30,46.23,$1.04,44.45
2024-01-31,53.0,$1.54,34.42
2023-10-31,42.2,$1.71,24.68
2023-07-31,42.2,$1.48,28.51
2023-04-30,46.04,$1.35,34.1
2023-01-31,52.02,$1.22,42.64
2022-10-31,47.9,$1.00,47.9
2022-07-31,51.6,$1.27,40.63
2022-04-30,55.17,$2.72,20.28
2022-01-31,66.31,$3.13,21.19
2021-10-31,54.29,$3.19,17.02
2021-07-31,58.14,$2.95,19.71
2021-04-30,50.47,$2.34,21.57
2021-01-31,53.39,$2.27,23.52
2020-10-31,39.39,$2.32,16.98
2020-07-31,59.51,$2.41,24.69
2020-04-30,46.25,$2.05,22.56
2020-01-31,40.67,$1.79,22.72
2019-10-31,37.12,$1.60,23.2
2019-07-31,45.22,$1.43,31.62
2019-04-30,38.36,$1.22,31.44
2019-01-31,38.09,$0.98,38.87
2018-10-31,31.26,$-2.52,0.0
2018-07-31,25.4,$4.46,5.7
2018-04-30,25.75,$4.37,5.89
2018-01-31,21.28,$4.31,4.94
2017-10-31,21.27,$7.85,2.71
2017-04-30,22.91,$0.76,30.14
2017-01-31,24.34,$0.61,39.9
2016-10-31,19.38,$0.50,38.76
2016-07-31,19.19,$0.15,127.93
2016-04-30,16.83,$0.11,153.0
2016-01-31,17.77,$0.18,98.72
2015-10-31,24.14,$0.09,268.22
2015-07-31,25.45,$-0.10,0.0
2015-04-30,21.3,$-0.14,0.0
2015-01-31,18.52,$-0.41,0.0
2014-10-31,16.76,$-0.39,0.0
2014-07-31,19.53,$-0.19,0.0
2014-04-30,19.77,$-0.35,0.0
2014-01-31,23.33,$-0.52,0.0
2013-10-31,23.27,$-0.84,0.0
2013-07-31,22.06,$-1.14,0.0
2013-04-30,14.96,$-1.43,0.0
2013-01-31,15.66,$-1.44,0.0
2012-10-31,12.42,$-1.46,0.0
2012-07-31,16.03,$-1.30,0.0
2012-04-30,14.82,$-1.33,0.0
2012-01-31,14.55,$-1.71,0.0
2011-10-31,13.18,$-2.06,0.0
2011-07-31,15.46,$-2.69,0.0
2011-04-30,28.24,$-3.54,0.0
2011-01-31,22.03,$-3.85,0.0
2010-10-31,13.81,$-3.59,0.0
2010-07-31,13.09,$-2.34,0.0
2010-04-30,18.53,$-1.45,0.0
2010-01-31,12.75,$-0.77,0.0
2017-07-31,25.75,$-5.72,0.0
2009-10-31,11.73,$-6.38,0.0
