BankUnited PE Ratio Historical Data,BankUnited PE Ratio Historical Data,BankUnited PE Ratio Historical Data,BankUnited PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.8,,16.73
2024-06-30,28.78,$2.26,12.73
2024-03-31,27.22,$2.32,11.73
2023-12-31,31.24,$2.38,13.13
2023-09-30,21.6,$2.93,7.37
2023-06-30,20.28,$3.42,5.93
2023-03-31,20.98,$3.46,6.06
2022-12-31,31.35,$3.55,8.83
2022-09-30,31.31,$4.14,7.56
2022-06-30,32.36,$3.96,8.17
2022-03-31,39.77,$4.25,9.36
2021-12-31,38.08,$4.52,8.43
2021-09-30,37.43,$4.00,9.36
2021-06-30,38.0,$3.76,10.11
2021-03-31,38.92,$3.45,11.28
2020-12-31,30.62,$2.06,14.86
2020-09-30,19.1,$2.08,9.18
2020-06-30,17.42,$2.15,8.1
2020-03-31,15.9,$2.16,7.36
2019-12-31,30.9,$3.14,9.84
2019-09-30,28.23,$2.73,10.34
2019-06-30,28.15,$2.86,9.84
2019-03-31,27.7,$2.87,9.65
2018-12-31,24.67,$2.99,8.25
2018-09-30,28.99,$6.28,4.62
2018-06-30,33.27,$6.00,5.55
2018-03-31,32.39,$5.78,5.6
2017-12-31,32.83,$5.58,5.88
2017-09-30,28.5,$2.38,11.98
2017-06-30,26.84,$2.23,12.04
2017-03-31,29.54,$2.15,13.74
2016-12-31,29.67,$2.09,14.2
2016-09-30,23.6,$2.02,11.68
2016-06-30,23.85,$2.50,9.54
2016-03-31,26.58,$2.41,11.03
2015-12-31,27.65,$2.34,11.82
2015-09-30,27.41,$2.27,12.08
2015-06-30,27.38,$1.83,14.96
2015-03-31,24.81,$1.93,12.85
2014-12-31,21.81,$1.99,10.96
2014-09-30,22.79,$2.06,11.06
2014-03-31,25.65,$2.07,12.39
2013-12-31,23.98,$2.01,11.93
2013-09-30,22.72,$2.12,10.72
2013-06-30,18.67,$2.08,8.98
2013-03-31,18.39,$2.04,9.02
2012-12-31,17.41,$2.06,8.45
2012-09-30,17.37,$1.86,9.34
2012-06-30,16.53,$1.83,9.03
2012-03-31,17.4,$1.79,9.72
2011-12-31,15.2,$1.76,8.64
2011-09-30,14.26,$0.63,22.63
