MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,77.48,,20.88
2024-06-30,69.64,$3.71,18.77
2024-03-31,72.97,$2.91,25.07
2023-12-31,64.6,$1.83,35.3
2023-09-30,60.92,$2.72,22.4
2023-06-30,54.3,$2.57,21.13
2023-03-31,55.12,$2.22,24.83
2022-12-31,68.36,$2.93,23.33
2022-09-30,57.03,$2.66,21.44
2022-06-30,58.45,$4.02,14.54
2022-03-31,64.93,$7.72,8.41
2021-12-31,57.33,$7.32,7.83
2021-09-30,56.21,$6.07,9.26
2021-06-30,54.07,$4.99,10.84
2021-03-31,54.53,$1.23,44.33
2020-12-31,41.74,$5.65,7.39
2020-09-30,32.66,$6.09,5.36
2020-06-30,31.7,$7.70,4.12
2020-03-31,26.18,$9.40,2.79
2019-12-31,43.27,$6.05,7.15
2019-09-30,39.67,$7.51,5.28
2019-06-30,41.38,$6.09,6.8
2019-03-31,35.14,$5.15,6.82
2018-12-31,33.58,$4.94,6.8
2018-09-30,37.86,$4.87,7.77
2018-06-30,35.0,$3.91,8.95
2018-03-31,36.51,$3.85,9.48
2017-12-31,39.89,$3.41,11.7
2017-09-30,40.69,$-0.50,0.0
2017-06-30,38.19,$0.09,424.33
2017-03-31,36.44,$-0.62,0.0
2016-12-31,36.89,$0.61,60.48
2016-09-30,30.16,$3.25,9.28
2016-06-30,26.77,$3.80,7.04
2016-03-31,29.25,$4.66,6.28
2015-12-31,31.81,$4.55,6.99
2015-09-30,30.88,$5.15,6.0
2015-06-30,36.43,$5.90,6.17
2015-03-31,32.65,$6.15,5.31
2014-12-31,34.69,$5.42,6.4
2014-09-30,34.23,$4.89,7.0
2014-06-30,35.17,$3.92,8.97
2014-03-31,33.19,$3.18,10.44
2013-12-31,33.7,$2.91,11.58
2013-09-30,29.17,$2.23,13.08
2013-06-30,28.28,$0.47,60.17
2013-03-31,23.34,$2.16,10.8
2012-12-31,20.12,$1.13,17.8
2012-09-30,20.58,$2.10,9.8
2012-06-30,18.42,$6.35,2.9
2012-03-31,22.31,$5.36,4.16
2011-12-31,18.62,$6.30,2.96
2011-09-30,16.37,$5.29,3.09
2011-06-30,25.64,$2.28,11.25
2011-03-31,26.14,$2.99,8.74
2010-12-31,25.97,$3.18,8.17
2010-09-30,22.08,$3.48,6.35
2010-06-30,21.69,$2.37,9.15
2010-03-31,24.89,$-1.21,0.0
2009-12-31,20.3,$-2.89,0.0
