Tutor Perini PE Ratio Historical Data,Tutor Perini PE Ratio Historical Data,Tutor Perini PE Ratio Historical Data,Tutor Perini PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.57,,0.0
2024-06-30,21.78,$-1.30,0.0
2024-03-31,14.46,$-2.04,0.0
2023-12-31,9.1,$-3.29,0.0
2023-09-30,7.83,$-4.18,0.0
2023-06-30,7.15,$-4.10,0.0
2023-03-31,6.17,$-4.61,0.0
2022-12-31,7.55,$-4.08,0.0
2022-09-30,5.52,$-1.71,0.0
2022-06-30,8.78,$-0.78,0.0
2022-03-31,10.8,$1.06,10.19
2021-12-31,12.37,$1.79,6.91
2021-09-30,12.98,$1.91,6.8
2021-06-30,13.85,$2.33,5.94
2021-03-31,18.95,$2.09,9.07
2020-12-31,12.95,$2.12,6.11
2020-09-30,11.13,$-0.28,0.0
2020-06-30,12.18,$-0.62,0.0
2020-03-31,6.72,$-7.37,0.0
2019-12-31,12.86,$-7.72,0.0
2019-09-30,14.33,$-5.03,0.0
2019-06-30,13.87,$-4.99,0.0
2019-03-31,17.12,$1.88,9.11
2018-12-31,15.97,$1.65,9.68
2018-09-30,18.8,$2.27,8.28
2018-06-30,18.45,$2.32,7.95
2018-03-31,22.05,$2.42,9.11
2017-12-31,25.35,$2.93,8.65
2017-09-30,28.4,$1.93,14.72
2017-06-30,28.75,$2.03,14.16
2017-03-31,31.8,$1.87,17.01
2016-12-31,28.0,$1.91,14.66
2016-09-30,21.47,$1.49,14.41
2016-06-30,23.55,$1.32,17.84
2016-03-31,15.54,$1.13,13.75
2015-12-31,16.74,$0.92,18.2
2015-09-30,16.46,$1.30,12.66
2015-06-30,21.58,$1.63,13.24
2015-03-31,23.35,$1.97,11.85
2014-12-31,24.07,$2.20,10.94
2014-09-30,26.4,$2.32,11.38
2014-06-30,31.74,$2.08,15.26
2014-03-31,28.67,$1.82,15.75
2013-12-31,26.3,$1.80,14.61
2013-09-30,21.32,$1.98,10.77
2013-06-30,18.09,$2.37,7.63
2013-03-31,19.3,$-5.30,0.0
2012-12-31,13.7,$-5.64,0.0
2012-09-30,11.44,$-6.00,0.0
2012-06-30,12.67,$-6.14,0.0
2012-03-31,15.58,$1.62,9.62
2011-12-31,12.34,$1.79,6.89
2011-09-30,11.49,$1.69,6.8
2011-06-30,19.18,$1.60,11.99
2011-03-31,24.36,$1.85,13.17
2010-12-31,21.41,$2.13,10.05
2010-09-30,19.25,$2.39,8.05
2010-06-30,15.79,$2.28,6.93
2010-03-31,20.84,$2.41,8.65
2009-12-31,17.32,$2.79,6.21
