Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,960.02,,118.23
2024-06-30,904.12,$8.12,111.34
2024-03-31,775.59,$6.79,114.23
2023-12-31,580.15,$5.80,100.03
2023-09-30,533.59,$5.52,96.67
2023-06-30,464.91,$7.19,64.66
2023-03-31,339.56,$6.29,53.98
2022-12-31,360.56,$6.90,52.25
2022-09-30,317.8,$6.66,47.72
2022-06-30,317.66,$6.27,50.66
2022-03-31,279.63,$6.75,41.43
2021-12-31,268.59,$6.14,43.74
2021-09-30,223.94,$6.56,34.14
2021-06-30,221.74,$6.67,33.24
2021-03-31,179.7,$6.69,26.86
2020-12-31,161.73,$6.80,23.78
2020-09-30,141.05,$6.12,23.05
2020-06-30,155.68,$6.16,25.27
2020-03-31,130.93,$6.05,21.64
2019-12-31,123.4,$8.76,14.09
2019-09-30,104.39,$8.22,12.7
2019-06-30,103.42,$7.97,12.98
2019-03-31,120.47,$6.28,19.18
2018-12-31,106.86,$3.13,34.14
2018-09-30,98.59,$0.45,219.09
2018-06-30,77.97,$-0.14,0.0
2018-03-31,70.21,$1.06,66.23
2017-12-31,76.09,$-0.20,0.0
2017-09-30,76.58,$2.11,36.29
2017-06-30,73.21,$2.31,31.69
2017-03-31,74.34,$2.07,35.91
2016-12-31,64.57,$2.58,25.03
2016-09-30,70.01,$2.30,30.44
2016-06-30,68.26,$2.32,29.42
2016-03-31,62.0,$2.17,28.57
2015-12-31,72.04,$2.26,31.88
2015-09-30,71.11,$2.21,32.18
2015-06-30,70.52,$1.93,36.54
2015-03-31,60.95,$2.05,29.73
2014-12-31,57.47,$2.23,25.77
2014-09-30,53.63,$2.50,21.45
2014-06-30,51.0,$3.14,16.24
2014-03-31,47.89,$3.57,13.42
2013-12-31,41.12,$4.31,9.54
2013-09-30,40.19,$4.38,9.18
2013-06-30,38.88,$4.45,8.74
2013-03-31,44.56,$4.17,10.69
2012-12-31,38.34,$3.66,10.48
2012-09-30,36.48,$3.69,9.89
2012-06-30,32.64,$3.62,9.02
2012-03-31,30.27,$3.86,7.84
2011-12-31,30.86,$3.90,7.91
2011-09-30,27.09,$4.18,6.48
2011-06-30,27.13,$4.25,6.38
2011-03-31,25.1,$4.40,5.7
2010-12-31,24.66,$4.58,5.38
2010-09-30,25.35,$4.36,5.81
2010-06-30,22.94,$4.04,5.68
2010-03-31,24.46,$3.88,6.3
2009-12-31,23.77,$3.95,6.02
