Allison Transmission Holdings PE Ratio Historical Data,Allison Transmission Holdings PE Ratio Historical Data,Allison Transmission Holdings PE Ratio Historical Data,Allison Transmission Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,100.35,,13.03
2024-06-30,75.68,$7.70,9.83
2024-03-31,80.66,$7.49,10.77
2023-12-31,57.6,$7.44,7.74
2023-09-30,58.25,$7.05,8.26
2023-06-30,55.47,$6.74,8.23
2023-03-31,44.23,$6.08,7.28
2022-12-31,40.48,$5.53,7.32
2022-09-30,32.69,$5.16,6.34
2022-06-30,37.04,$4.60,8.05
2022-03-31,37.61,$4.35,8.65
2021-12-31,34.64,$4.12,8.41
2021-09-30,33.49,$3.50,9.57
2021-06-30,37.49,$3.29,11.4
2021-03-31,38.36,$2.48,15.47
2020-12-31,40.32,$2.61,15.45
2020-09-30,32.71,$2.98,10.98
2020-06-30,34.08,$3.53,9.65
2020-03-31,30.06,$4.79,6.28
2019-12-31,44.35,$4.91,9.03
2019-09-30,43.04,$5.15,8.36
2019-06-30,42.26,$5.19,8.14
2019-03-31,40.82,$5.02,8.13
2018-12-31,39.78,$4.78,8.32
2018-09-30,46.97,$5.15,9.12
2018-06-30,36.45,$4.63,7.87
2018-03-31,35.04,$3.97,8.83
2017-12-31,38.49,$3.41,11.29
2017-09-30,33.41,$2.26,14.78
2017-06-30,33.25,$1.78,18.68
2017-03-31,31.83,$1.51,21.08
2016-12-31,29.62,$1.27,23.32
2016-09-30,25.09,$0.99,25.34
2016-06-30,24.56,$0.99,24.81
2016-03-31,23.34,$0.93,25.1
2015-12-31,22.26,$1.03,21.61
2015-09-30,22.82,$1.23,18.55
2015-06-30,24.89,$1.34,18.57
2015-03-31,27.04,$1.35,20.03
2014-12-31,28.56,$1.25,22.85
2014-09-30,23.9,$1.20,19.92
2014-06-30,25.98,$1.06,24.51
2014-03-31,24.91,$1.01,24.67
2013-12-31,22.88,$0.88,26.0
2013-09-30,20.66,$0.71,29.1
2013-06-30,18.94,$0.64,29.59
2013-03-31,19.6,$2.59,7.57
2012-12-31,16.63,$2.75,6.05
