General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,49.78,,5.59
2024-06-30,46.46,$8.90,5.22
2024-03-31,45.35,$8.18,5.54
2023-12-31,35.82,$7.01,5.11
2023-09-30,32.78,$7.67,4.27
2023-06-30,38.24,$6.61,5.78
2022-12-31,33.19,$6.13,5.41
2022-09-30,31.59,$5.90,5.35
2022-06-30,31.19,$5.34,5.84
2022-03-31,42.96,$5.82,7.38
2021-12-31,57.59,$6.37,9.04
2023-03-31,36.27,$7.24,5.01
2021-09-30,51.77,$7.48,6.92
2021-06-30,58.12,$8.64,6.73
2021-03-31,56.44,$6.58,8.58
2020-12-31,40.9,$6.15,6.65
2020-09-30,29.06,$5.88,4.94
2019-12-31,35.5,$4.58,7.75
2019-09-30,35.97,$6.14,5.86
2019-06-30,36.61,$3.98,9.2
2019-03-31,34.88,$4.07,8.57
2018-12-31,31.14,$4.25,7.33
2020-06-30,24.85,$3.57,6.96
2018-09-30,31.01,$0.48,64.61
2018-06-30,35.89,$-3.30,0.0
2018-03-31,32.82,$-3.87,0.0
2017-12-31,36.65,$-2.89,0.0
2017-09-30,35.78,$1.95,18.35
2017-06-30,30.64,$5.74,5.34
2017-03-31,30.68,$6.46,4.75
2016-12-31,29.92,$4.93,6.07
2016-09-30,26.99,$4.98,5.42
2016-06-30,23.76,$7.14,3.33
2020-03-31,20.41,$6.17,3.31
2016-03-31,26.05,$6.67,3.91
2015-12-31,27.84,$5.99,4.65
2015-09-30,24.33,$2.73,8.91
2015-06-30,26.69,$2.70,9.89
2015-03-31,29.72,$2.14,13.89
2014-12-31,27.45,$1.64,16.74
2014-09-30,24.89,$1.55,16.06
2014-06-30,28.03,$1.19,23.56
2014-03-31,26.36,$1.83,14.41
2013-12-31,31.03,$2.35,13.21
2013-09-30,27.31,$2.32,11.77
2013-06-30,25.29,$2.76,9.16
2013-03-31,21.12,$2.91,7.26
2012-12-31,21.89,$2.61,8.39
2012-09-30,17.27,$3.10,5.57
2012-06-30,14.97,$3.75,3.99
2011-12-31,15.39,$4.62,3.33
2011-09-30,15.32,$4.65,3.3
2011-06-30,23.05,$4.22,5.46
