DAQO New Energy PE Ratio Historical Data,DAQO New Energy PE Ratio Historical Data,DAQO New Energy PE Ratio Historical Data,DAQO New Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.89,,0.0
2024-06-30,14.6,$-1.02,0.0
2024-03-31,28.15,$2.13,13.22
2023-12-31,26.6,$5.41,4.92
2023-09-30,30.27,$9.48,3.19
2023-06-30,39.7,$13.75,2.89
2023-03-31,46.84,$14.35,3.26
2022-12-31,38.61,$14.64,2.64
2022-09-30,53.08,$12.96,4.1
2021-12-31,40.32,$9.86,4.09
2021-09-30,57.0,$8.88,6.42
2021-06-30,65.02,$5.34,12.18
2021-03-31,75.5,$2.34,32.24
2020-12-31,57.36,$1.72,33.43
2020-09-30,27.05,$1.04,26.06
2020-06-30,14.85,$0.84,17.72
2020-03-31,11.58,$0.77,14.97
2019-12-31,10.24,$0.42,24.62
2019-09-30,9.22,$0.30,30.32
2019-06-30,8.47,$-0.04,0.0
2019-03-31,6.61,$0.19,34.05
2018-12-31,4.68,$0.66,7.13
2018-09-30,5.22,$1.09,4.79
2018-06-30,7.11,$1.81,3.94
2018-03-31,9.79,$1.83,5.34
2017-12-31,11.89,$1.70,6.98
2017-09-30,5.8,$1.18,4.93
2017-06-30,4.15,$0.94,4.4
2017-03-31,3.75,$1.09,3.44
2016-12-31,3.86,$0.82,4.71
2016-09-30,4.24,$0.92,4.59
2016-06-30,4.51,$0.77,5.85
2016-03-31,3.72,$0.38,9.79
2015-12-31,3.33,$0.25,13.54
2015-09-30,3.2,$0.14,22.52
2015-06-30,4.71,$0.16,29.81
2015-03-31,5.3,$-0.06,0.0
2014-12-31,5.27,$-0.38,0.0
2014-03-31,8.57,$-1.44,0.0
2013-12-31,7.26,$-2.05,0.0
2013-09-30,5.29,$-3.97,0.0
2013-06-30,1.84,$-4.11,0.0
2013-03-31,1.39,$-2.40,0.0
2012-12-31,1.59,$-0.87,0.0
2012-09-30,0.77,$1.28,0.6
2011-06-30,7.84,$1.52,5.16
2011-03-31,12.88,$0.40,32.2
2010-12-31,10.16,$-1.71,0.0
2012-06-30,0.85,$-1.58,0.0
2012-03-31,2.11,$-1.04,0.0
2011-12-31,1.67,$-0.54,0.0
2014-09-30,8.56,$7.57,1.13
2011-09-30,3.5,$15.62,0.22
