Afya PE Ratio Historical Data,Afya PE Ratio Historical Data,Afya PE Ratio Historical Data,Afya PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.61,,13.73
2024-06-30,17.65,$1.21,14.59
2024-03-31,18.58,$1.07,17.36
2023-12-31,21.93,$0.86,25.5
2023-09-30,15.8,$0.78,20.26
2023-06-30,14.04,$0.73,19.23
2023-03-31,11.16,$0.77,14.49
2022-12-31,15.62,$0.80,19.53
2022-09-30,13.56,$0.75,18.08
2022-06-30,9.95,$0.70,14.21
2022-03-31,14.41,$0.50,28.82
2021-12-31,15.71,$0.44,35.7
2021-09-30,19.74,$0.47,42.0
2021-06-30,25.78,$0.51,50.55
2021-03-31,18.59,$0.60,30.98
2020-12-31,25.3,$0.64,39.53
2020-09-30,27.24,$0.65,41.91
