Urban Edge Properties PE Ratio Historical Data,Urban Edge Properties PE Ratio Historical Data,Urban Edge Properties PE Ratio Historical Data,Urban Edge Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.0,,8.91
2024-06-30,18.32,$2.47,7.42
2024-03-31,16.97,$2.30,7.38
2023-12-31,17.8,$2.12,8.4
2023-09-30,14.72,$0.36,40.88
2023-06-30,14.74,$0.15,98.28
2023-03-31,14.24,$0.16,88.98
2022-12-31,13.17,$0.40,32.92
2022-09-30,12.34,$0.64,19.28
2022-06-30,13.93,$0.78,17.85
2022-03-31,17.3,$0.79,21.9
2021-12-31,17.06,$0.88,19.39
2021-09-30,16.3,$0.68,23.97
2021-06-30,16.87,$0.39,43.24
2021-03-31,14.48,$0.55,26.33
2020-12-31,11.25,$0.78,14.42
2020-09-30,8.16,$0.65,12.55
2020-06-30,9.96,$1.15,8.66
2020-03-31,7.39,$1.10,6.72
2019-12-31,15.85,$0.92,17.22
2019-09-30,16.16,$0.95,17.01
2019-06-30,14.0,$0.71,19.72
2019-03-31,15.16,$0.96,15.79
2018-12-31,13.11,$0.92,14.25
2018-09-30,17.21,$0.73,23.57
2018-06-30,17.65,$0.67,26.34
2018-03-31,16.31,$0.33,49.44
2017-12-31,19.28,$0.65,29.66
2017-09-30,18.08,$0.97,18.64
2017-06-30,17.64,$1.01,17.46
2017-03-31,19.38,$1.22,15.88
2016-12-31,20.09,$0.91,22.08
2016-09-30,20.39,$0.87,23.44
2016-06-30,21.48,$0.87,24.69
2016-03-31,18.46,$0.69,26.75
2015-12-31,16.62,$0.38,43.73
