Celldex Therapeutics PE Ratio Historical Data,Celldex Therapeutics PE Ratio Historical Data,Celldex Therapeutics PE Ratio Historical Data,Celldex Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.74,,0.0
2024-06-30,37.01,$-2.74,0.0
2024-03-31,41.97,$-2.85,0.0
2023-12-31,39.66,$-2.91,0.0
2023-09-30,27.52,$-2.64,0.0
2023-06-30,33.93,$-2.40,0.0
2023-03-31,35.98,$-2.52,0.0
2022-12-31,44.57,$-2.39,0.0
2022-09-30,28.11,$-2.26,0.0
2022-06-30,26.96,$-2.14,0.0
2022-03-31,34.06,$-1.71,0.0
2021-12-31,38.64,$-1.64,0.0
2021-09-30,53.99,$-1.76,0.0
2021-06-30,33.44,$-1.67,0.0
2021-03-31,20.6,$-1.83,0.0
2020-12-31,17.52,$-2.14,0.0
2020-09-30,14.83,$-2.23,0.0
2020-06-30,13.0,$-2.62,0.0
2020-03-31,1.66,$-2.96,0.0
2019-12-31,2.23,$-3.63,0.0
2019-09-30,2.13,$-3.80,0.0
2019-06-30,2.68,$-3.65,0.0
2019-03-31,4.92,$-4.46,0.0
2018-12-31,2.97,$-15.65,0.0
2018-09-30,6.77,$-15.29,0.0
2018-06-30,7.55,$-17.69,0.0
2018-03-31,34.95,$-19.49,0.0
2017-12-31,42.6,$-11.09,0.0
2017-09-30,42.9,$-15.14,0.0
2017-06-30,37.05,$-16.49,0.0
2017-03-31,54.15,$-17.84,0.0
2016-12-31,53.1,$-18.89,0.0
2016-09-30,60.6,$-19.34,0.0
2016-06-30,65.85,$-19.79,0.0
2016-03-31,56.7,$-19.94,0.0
2015-12-31,235.2,$-19.64,0.0
2015-09-30,158.1,$-20.09,0.0
2015-06-30,378.3,$-19.94,0.0
2015-03-31,418.05,$-19.79,0.0
2014-12-31,273.75,$-19.79,0.0
2014-09-30,194.4,$-18.44,0.0
2014-06-30,244.8,$-18.14,0.0
2014-03-31,265.05,$-16.94,0.0
2013-12-31,363.15,$-15.44,0.0
2013-09-30,531.45,$-15.44,0.0
2013-06-30,234.15,$-14.84,0.0
2013-03-31,173.7,$-14.69,0.0
2012-12-31,100.65,$-15.29,0.0
2012-09-30,94.5,$-15.59,0.0
2012-06-30,77.63,$-15.89,0.0
2012-03-31,76.35,$-16.49,0.0
2011-12-31,39.0,$-17.09,0.0
2011-09-30,34.28,$-2.25,0.0
2011-06-30,53.25,$-2.40,0.0
2011-03-31,60.3,$-2.85,0.0
2010-12-31,61.8,$-1.35,0.0
2010-09-30,60.0,$-18.29,0.0
2010-06-30,68.4,$-20.84,0.0
2010-03-31,92.1,$-24.59,0.0
2009-12-31,70.05,$-28.79,0.0
