Curtiss-Wright PE Ratio Historical Data,Curtiss-Wright PE Ratio Historical Data,Curtiss-Wright PE Ratio Historical Data,Curtiss-Wright PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,362.91,,35.61
2024-06-30,270.81,$10.19,26.58
2024-03-31,255.58,$9.71,26.32
2023-12-31,222.3,$9.20,24.16
2023-09-30,195.01,$8.91,21.89
2023-06-30,182.9,$8.31,22.01
2023-03-31,175.33,$8.04,21.81
2022-12-31,165.93,$7.61,21.8
2022-09-30,138.13,$6.73,20.52
2022-06-30,130.9,$6.52,20.08
2022-03-31,148.62,$6.18,24.05
2021-12-31,137.08,$6.58,20.83
2021-09-30,124.57,$5.94,20.97
2021-06-30,117.08,$5.79,20.22
2021-03-31,116.75,$5.04,23.16
2020-12-31,114.37,$4.80,23.83
2020-09-30,91.55,$5.58,16.41
2020-06-30,87.48,$5.95,14.7
2020-03-31,90.38,$7.07,12.78
2019-12-31,137.53,$7.15,19.24
2019-09-30,125.96,$6.96,18.1
2019-06-30,123.78,$6.72,18.42
2019-03-31,110.2,$6.54,16.85
2018-12-31,99.15,$6.23,15.92
2018-09-30,133.28,$5.86,22.74
2018-06-30,115.44,$5.61,20.58
2018-03-31,130.84,$5.06,25.86
2017-12-31,117.9,$4.81,24.51
2017-09-30,100.89,$4.82,20.93
2017-06-30,88.57,$4.41,20.08
2017-03-31,87.95,$4.16,21.14
2016-12-31,94.65,$4.16,22.75
2016-09-30,87.44,$4.14,21.12
2016-06-30,80.86,$3.83,21.11
2016-03-31,72.51,$3.48,20.84
2015-12-31,65.53,$3.08,21.28
2015-09-30,59.6,$1.91,31.21
2015-06-30,69.03,$1.71,40.37
2015-03-31,70.34,$1.92,36.63
2014-12-31,67.03,$2.31,29.02
2014-09-30,62.35,$2.94,21.21
2014-06-30,62.01,$3.19,19.44
2014-03-31,59.98,$3.15,19.04
2013-12-31,58.63,$2.87,20.43
2013-09-30,44.06,$2.71,16.26
2013-06-30,34.77,$2.19,15.88
2013-03-31,32.47,$1.97,16.48
2012-12-31,30.64,$2.40,12.77
2012-09-30,30.34,$2.43,12.49
2012-06-30,28.81,$2.92,9.87
2012-03-31,34.24,$3.12,10.98
2011-12-31,32.62,$2.77,11.78
2011-09-30,26.48,$2.72,9.73
2011-06-30,29.73,$2.59,11.48
2011-03-31,32.19,$2.47,13.03
2010-12-31,30.34,$2.30,13.19
2010-09-30,27.55,$2.27,12.14
2010-06-30,26.4,$2.11,12.51
2010-03-31,31.55,$2.09,15.1
2009-12-31,28.33,$2.09,13.56
