Hess PE Ratio Historical Data,Hess PE Ratio Historical Data,Hess PE Ratio Historical Data,Hess PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,138.06,,16.05
2024-06-30,147.52,$8.60,17.15
2024-03-31,152.18,$6.53,23.3
2023-12-31,143.31,$4.50,31.85
2023-09-30,151.64,$5.19,29.22
2023-06-30,134.37,$5.22,25.74
2023-03-31,130.38,$6.98,18.68
2022-12-31,139.25,$7.19,19.37
2022-09-30,106.71,$6.01,17.76
2022-06-30,103.41,$4.71,21.95
2022-03-31,104.15,$2.32,44.89
2021-12-31,71.75,$0.66,108.71
2021-09-30,75.46,$-0.99,0.0
2021-06-30,84.05,$-2.41,0.0
2020-12-31,50.49,$-10.17,0.0
2020-09-30,38.96,$-10.58,0.0
2020-06-30,49.04,$-10.46,0.0
2020-03-31,31.36,$-9.43,0.0
2019-12-31,62.48,$-1.34,0.0
2019-09-30,56.33,$-0.66,0.0
2019-06-30,58.97,$0.16,368.59
2019-03-31,55.63,$-0.30,0.0
2018-12-31,37.25,$-0.77,0.0
2018-09-30,65.51,$-9.29,0.0
2018-06-30,60.99,$-11.45,0.0
2018-03-31,45.96,$-12.43,0.0
2017-12-31,42.88,$-27.70,0.0
2017-09-30,42.12,$-20.25,0.0
2017-06-30,39.17,$-19.52,0.0
2016-12-31,55.03,$-19.78,0.0
2016-09-30,47.18,$-10.56,0.0
2016-06-30,52.6,$-10.51,0.0
2016-03-31,45.88,$-10.20,0.0
2015-12-31,42.04,$-10.47,0.0
2017-03-31,42.81,$-5.41,0.0
2015-09-30,43.2,$-4.37,0.0
2015-06-30,57.45,$-0.08,0.0
2015-03-31,58.09,$4.87,11.93
2014-12-31,62.95,$7.44,8.46
2014-09-30,80.12,$13.23,6.06
2014-06-30,83.79,$11.14,7.52
2014-03-31,70.04,$12.34,5.68
2013-12-31,69.93,$11.96,5.85
2013-09-30,64.95,$9.92,6.55
2013-06-30,55.66,$10.36,5.37
2021-03-31,67.92,$7.84,8.66
2013-03-31,59.86,$8.63,6.94
2012-12-31,44.21,$6.51,6.79
2012-09-30,44.75,$4.46,10.03
2012-06-30,36.13,$3.70,9.77
2012-03-31,48.91,$3.87,12.64
2011-12-31,47.05,$5.01,9.39
2011-09-30,43.38,$5.58,7.77
2011-06-30,61.71,$8.22,7.51
2011-03-31,70.25,$7.59,9.26
2010-12-31,63.02,$6.50,9.7
2010-09-30,48.61,$7.42,6.55
2010-06-30,41.32,$4.95,8.35
2010-03-31,51.24,$4.11,12.47
2009-12-31,49.48,$2.28,21.7
