Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,137.53,,43.52
2024-06-30,135.27,$3.16,42.81
2024-03-31,128.9,$2.81,45.87
2023-12-31,113.73,$2.72,41.81
2023-09-30,90.23,$2.44,36.98
2023-06-30,111.27,$1.88,59.19
2023-03-31,103.1,$2.05,50.29
2022-12-31,108.54,$1.96,55.38
2022-09-30,85.52,$1.76,48.59
2022-06-30,76.29,$2.32,32.88
2022-03-31,82.89,$2.32,35.73
2021-12-31,116.2,$2.69,43.2
2021-09-30,119.58,$2.27,52.68
2021-06-30,115.74,$1.81,63.95
2020-12-31,97.7,$1.40,69.79
2020-09-30,80.5,$1.23,65.45
2020-06-30,61.96,$1.51,41.04
2020-03-31,61.89,$1.70,36.41
2019-12-31,74.64,$2.26,33.03
2021-03-31,101.24,$2.04,49.63
2019-09-30,75.21,$2.80,26.86
2019-06-30,78.76,$3.16,24.92
2019-03-31,74.19,$3.03,24.48
2018-12-31,62.42,$3.03,20.6
2018-09-30,74.48,$2.19,34.01
2018-06-30,62.66,$2.05,30.57
2018-03-31,71.32,$1.96,36.39
2017-12-31,63.06,$1.84,34.27
2017-09-30,57.75,$1.72,33.58
2017-06-30,50.96,$1.55,32.88
2017-03-31,46.01,$1.39,33.1
2016-12-31,45.2,$1.45,31.17
2016-09-30,47.72,$1.80,26.51
2016-06-30,40.5,$1.87,21.66
2016-03-31,36.97,$1.89,19.56
2015-12-31,32.86,$1.87,17.57
2015-09-30,29.46,$1.76,16.74
2015-06-30,33.1,$1.86,17.79
2015-03-31,31.15,$1.92,16.22
2014-12-31,33.73,$1.94,17.39
2014-09-30,31.33,$1.81,17.31
2014-06-30,34.38,$1.48,23.23
2013-12-31,30.23,$1.23,24.58
2013-09-30,24.31,$1.25,19.44
2013-06-30,23.34,$1.12,20.83
2013-03-31,23.78,$1.25,19.02
2012-12-31,23.28,$1.51,15.42
2014-03-31,31.93,$1.46,21.87
2012-09-30,21.52,$1.48,14.54
