JetBlue Airways PE Ratio Historical Data,JetBlue Airways PE Ratio Historical Data,JetBlue Airways PE Ratio Historical Data,JetBlue Airways PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.41,,0.0
2024-06-30,6.09,$-2.81,0.0
2024-03-31,7.42,$-2.47,0.0
2023-12-31,5.55,$-0.94,0.0
2023-09-30,4.6,$-0.56,0.0
2023-06-30,8.86,$0.08,110.75
2023-03-31,7.28,$-0.91,0.0
2022-12-31,6.48,$-1.12,0.0
2022-09-30,6.63,$-1.59,0.0
2022-06-30,8.37,$-1.37,0.0
2022-03-31,14.95,$-0.59,0.0
2021-12-31,14.24,$-0.58,0.0
2021-09-30,15.29,$-1.52,0.0
2021-06-30,16.78,$-3.36,0.0
2021-03-31,20.34,$-4.74,0.0
2020-12-31,14.54,$-4.93,0.0
2020-09-30,11.33,$-3.03,0.0
2020-06-30,10.9,$-0.96,0.0
2020-03-31,8.95,$0.81,11.05
2019-12-31,18.72,$1.92,9.75
2019-09-30,16.75,$1.91,8.77
2019-06-30,18.49,$1.44,12.84
2019-03-31,16.36,$0.47,34.81
2018-12-31,16.06,$2.41,6.66
2018-09-30,19.36,$2.41,8.03
2018-06-30,18.98,$2.89,6.57
2017-12-31,22.34,$3.52,6.35
2017-09-30,18.53,$1.94,9.55
2017-06-30,22.83,$1.66,13.75
2017-03-31,20.61,$1.60,12.88
2016-12-31,22.42,$1.88,11.93
2018-03-31,20.32,$1.97,10.31
2016-09-30,17.24,$2.26,7.63
2016-06-30,16.56,$2.26,7.33
2016-03-31,21.12,$2.17,9.73
2015-12-31,22.65,$1.98,11.44
2015-09-30,25.77,$1.68,15.34
2015-06-30,20.76,$1.34,15.49
2015-03-31,19.25,$1.58,12.18
2014-12-31,15.86,$1.19,13.33
2014-09-30,10.62,$1.07,9.93
2014-06-30,10.85,$1.04,10.43
2014-03-31,8.69,$0.47,18.49
2013-12-31,8.54,$0.51,16.75
2013-09-30,6.67,$0.37,18.01
2013-06-30,6.29,$0.30,20.97
2013-03-31,6.9,$0.35,19.71
2012-12-31,5.72,$0.39,14.67
2012-09-30,4.8,$0.46,10.42
2012-06-30,5.3,$0.43,12.33
2012-03-31,4.89,$0.35,13.97
2011-12-31,5.2,$0.29,17.93
2011-09-30,4.09,$0.40,10.23
2011-06-30,6.1,$0.39,15.64
2010-12-31,6.61,$0.30,22.03
2010-09-30,6.69,$0.31,21.58
2010-06-30,5.49,$0.14,39.21
2010-03-31,5.58,$0.09,62.0
2009-12-31,5.45,$0.17,32.06
2011-03-31,6.27,$0.18,34.83
