NETSTREIT PE Ratio Historical Data,NETSTREIT PE Ratio Historical Data,NETSTREIT PE Ratio Historical Data,NETSTREIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.57,,236.71
2024-06-30,16.1,$0.07,230.0
2024-03-31,18.37,$0.09,204.11
2023-12-31,17.85,$0.11,162.27
2023-09-30,15.58,$0.13,119.85
2023-06-30,17.87,$0.10,178.7
2023-03-31,18.28,$0.15,121.87
2022-12-31,18.33,$0.16,114.56
2022-09-30,17.81,$0.16,111.31
2022-06-30,18.68,$0.20,93.4
2022-03-31,22.0,$0.09,244.5
2021-12-31,22.25,$0.07,317.8
2021-09-30,22.76,$0.17,133.89
2021-06-30,22.02,$-0.01,0.0
