CommScope Holding PE Ratio Historical Data,CommScope Holding PE Ratio Historical Data,CommScope Holding PE Ratio Historical Data,CommScope Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.65,,0.0
2024-06-30,1.23,$-8.17,0.0
2024-03-31,1.31,$-8.85,0.0
2023-12-31,2.82,$-7.14,0.0
2023-09-30,3.36,$-9.98,0.0
2023-06-30,5.63,$-5.96,0.0
2023-03-31,6.37,$-6.16,0.0
2022-12-31,7.35,$-6.60,0.0
2022-09-30,9.21,$-1.89,0.0
2022-03-31,7.88,$-2.75,0.0
2021-12-31,11.04,$-2.55,0.0
2021-09-30,13.59,$-2.00,0.0
2021-06-30,21.31,$-1.98,0.0
2021-03-31,15.36,$-2.87,0.0
2020-12-31,13.4,$-3.21,0.0
2020-09-30,9.0,$-5.58,0.0
2020-06-30,8.33,$-5.80,0.0
2020-03-31,9.11,$-5.90,0.0
2019-12-31,14.19,$-5.02,0.0
2019-09-30,11.76,$-2.82,0.0
2019-06-30,15.73,$-1.61,0.0
2019-03-31,21.73,$0.54,40.24
2018-12-31,16.39,$0.72,22.76
2018-09-30,30.76,$1.11,27.71
2018-06-30,29.21,$1.04,28.08
2018-03-31,39.97,$0.98,40.79
2017-12-31,37.83,$0.98,38.6
2017-09-30,33.21,$0.99,33.55
2017-06-30,38.03,$1.21,31.43
2017-03-31,41.71,$1.25,33.37
2016-12-31,37.2,$1.14,32.63
2016-09-30,30.11,$0.47,64.06
2016-06-30,31.03,$-0.37,0.0
2016-03-31,27.92,$-1.11,0.0
2015-12-31,25.89,$-0.93,0.0
2022-06-30,6.12,$-0.34,0.0
2015-09-30,30.03,$0.27,111.22
2015-06-30,30.51,$1.19,25.64
2015-03-31,28.54,$1.10,25.95
2014-12-31,22.83,$1.24,18.41
2014-09-30,23.91,$0.94,25.44
