Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,82.16,,32.86
2024-06-30,90.98,$2.50,36.39
2024-03-31,88.78,$3.47,25.59
2023-12-31,88.77,$4.28,20.74
2023-09-30,76.43,$4.55,16.8
2023-06-30,87.28,$4.32,20.2
2023-03-31,81.22,$4.01,20.25
2022-12-31,67.81,$3.69,18.38
2022-09-30,58.65,$3.27,17.93
2022-06-30,55.58,$2.72,20.43
2022-03-31,71.61,$2.27,31.61
2021-12-31,82.68,$1.70,48.63
2021-09-30,72.68,$1.15,63.47
2021-06-30,70.69,$0.85,83.16
2021-03-31,73.08,$0.65,113.3
2020-12-31,64.86,$0.64,102.15
2020-09-30,48.12,$1.17,41.13
2020-06-30,49.14,$1.25,39.32
2020-03-31,31.51,$1.11,28.39
2019-12-31,48.51,$1.27,38.35
2019-09-30,42.87,$0.77,56.03
2019-06-30,39.84,$0.74,53.83
2019-03-31,37.94,$0.71,53.44
2018-12-31,32.76,$0.65,50.4
2018-09-30,35.77,$0.02,2384.45
2018-06-30,41.04,$0.21,195.44
2018-03-31,41.07,$0.49,83.81
2017-12-31,39.33,$0.49,81.1
2017-09-30,40.03,$1.25,32.02
2017-06-30,34.26,$0.94,36.64
2017-03-31,32.6,$0.32,101.88
2016-12-31,28.2,$0.19,148.44
2016-09-30,27.17,$0.10,271.7
2016-06-30,22.06,$0.18,122.58
2016-03-31,20.8,$0.75,27.91
2015-12-31,19.91,$0.82,24.43
2015-09-30,18.29,$0.87,21.03
2015-06-30,19.97,$0.93,21.48
2015-03-31,20.44,$0.83,24.63
2014-12-31,18.73,$0.86,21.9
2014-09-30,19.45,$0.90,21.61
2014-06-30,19.94,$0.92,21.68
2014-03-31,19.37,$0.91,21.4
2013-12-31,18.0,$0.80,22.65
2013-09-30,16.08,$0.58,27.72
2013-06-30,14.73,$0.30,49.93
2013-03-31,14.4,$0.31,47.22
2012-12-31,12.64,$0.36,35.12
2012-09-30,12.56,$0.53,23.91
2012-06-30,12.56,$0.78,16.1
2012-03-31,13.97,$0.83,16.83
2011-12-31,13.63,$0.95,14.42
2011-09-30,11.46,$1.01,11.34
2011-06-30,13.81,$1.08,12.79
2011-03-31,13.73,$1.07,12.83
2010-12-31,12.35,$0.96,12.87
2010-09-30,11.13,$0.89,12.51
2010-06-30,9.7,$0.74,13.11
2010-03-31,9.73,$0.57,17.22
2009-12-31,9.92,$0.44,22.53
