Chunghwa Telecom PE Ratio Historical Data,Chunghwa Telecom PE Ratio Historical Data,Chunghwa Telecom PE Ratio Historical Data,Chunghwa Telecom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.11,,25.93
2024-06-30,37.14,$1.47,25.27
2024-03-31,37.65,$1.50,25.1
2023-12-31,37.59,$1.53,24.57
2023-09-30,34.58,$1.55,22.31
2023-06-30,35.87,$1.58,22.71
2023-03-31,36.21,$1.58,22.92
2022-12-31,33.89,$1.58,21.45
2022-09-30,32.9,$1.63,20.19
2022-06-30,38.2,$1.66,23.01
2022-03-31,39.72,$1.65,24.07
2021-12-31,37.72,$1.64,23.0
2021-09-30,35.11,$1.61,21.81
2021-06-30,34.99,$1.55,22.58
2021-03-31,33.69,$1.51,22.31
2020-12-31,33.24,$1.47,22.61
2020-09-30,31.18,$1.43,21.81
2020-06-30,32.66,$1.39,23.49
2020-03-31,29.5,$1.37,21.54
2019-12-31,30.61,$1.36,22.51
2019-09-30,29.6,$1.38,21.45
2019-06-30,29.38,$1.41,20.83
2019-03-31,28.58,$1.49,19.18
2018-12-31,28.77,$1.51,19.06
2018-09-30,28.87,$1.53,18.87
2018-06-30,27.63,$1.60,17.27
2018-03-31,29.9,$1.62,18.45
2017-12-31,27.26,$1.65,16.52
2017-09-30,26.24,$1.59,16.5
2017-06-30,25.88,$1.55,16.69
2017-03-31,24.97,$1.54,16.21
2016-12-31,23.18,$1.59,14.58
2016-09-30,25.74,$1.65,15.6
2016-06-30,25.46,$1.73,14.72
2016-03-31,23.68,$1.76,13.46
2015-12-31,21.07,$1.75,12.04
2015-09-30,21.2,$1.74,12.18
2015-06-30,21.29,$1.68,12.67
2015-03-31,21.39,$1.67,12.81
2014-12-31,19.63,$1.66,11.83
2014-09-30,19.99,$1.70,11.76
2014-06-30,20.85,$1.71,12.19
2014-03-31,19.95,$1.71,11.67
2013-12-31,20.13,$1.68,11.98
2013-09-30,20.54,$1.68,12.22
2013-06-30,19.79,$1.71,11.57
2013-03-31,19.17,$1.74,11.02
2012-12-31,19.93,$1.76,11.32
2012-09-30,19.57,$1.80,10.87
2012-06-30,18.25,$1.86,9.81
2012-03-31,17.86,$1.96,9.11
2011-12-31,19.33,$2.06,9.38
2011-09-30,19.16,$2.00,9.58
2011-06-30,19.04,$1.99,9.57
2011-03-31,17.18,$1.91,8.98
2010-12-31,13.93,$1.89,7.36
2010-09-30,12.36,$2.05,6.03
2010-06-30,10.22,$1.59,6.42
2010-03-31,10.08,$1.49,6.76
2009-12-31,9.64,$1.45,6.67
