Fabrinet PE Ratio Historical Data,Fabrinet PE Ratio Historical Data,Fabrinet PE Ratio Historical Data,Fabrinet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,266.87,,32.95
2024-06-30,244.79,$8.10,30.22
2024-03-31,189.02,$7.53,25.1
2023-12-31,190.33,$6.92,27.5
2023-09-30,166.62,$6.74,24.72
2023-06-30,129.88,$6.72,19.33
2023-03-31,118.76,$6.58,18.05
2022-12-31,128.22,$6.33,20.26
2022-09-30,95.45,$5.92,16.12
2022-06-30,81.1,$5.36,15.13
2022-03-31,105.13,$4.98,21.11
2021-12-31,118.47,$4.63,25.59
2021-09-30,102.51,$4.27,24.01
2021-06-30,95.87,$3.95,24.27
2021-03-31,90.39,$3.57,25.32
2020-12-31,77.59,$3.32,23.37
2020-09-30,63.03,$3.21,19.64
2020-06-30,62.42,$3.02,20.67
2020-03-31,54.56,$3.15,17.32
2019-12-31,64.84,$3.16,20.52
2019-09-30,52.3,$3.17,16.5
2019-06-30,49.67,$3.23,15.38
2019-03-31,52.36,$2.95,17.75
2018-12-31,51.31,$2.74,18.73
2018-09-30,46.26,$2.41,19.2
2018-06-30,36.89,$2.21,16.69
2018-03-31,31.38,$2.33,13.47
2017-12-31,28.7,$2.35,12.21
2017-09-30,37.06,$2.51,14.76
2017-06-30,42.66,$2.57,16.6
2017-03-31,42.03,$2.38,17.66
2016-12-31,40.3,$2.37,17.0
2016-09-30,44.59,$2.24,19.91
2016-06-30,37.12,$1.67,22.23
2016-03-31,32.35,$1.50,21.57
2015-12-31,23.82,$1.24,19.21
2015-09-30,18.33,$0.94,19.5
2015-06-30,18.73,$1.21,15.48
2015-03-31,18.99,$1.14,16.66
2014-12-31,17.74,$2.17,8.18
2014-09-30,14.6,$2.34,6.24
2014-06-30,20.6,$2.58,7.98
2014-03-31,20.77,$2.72,7.64
2013-12-31,20.56,$2.00,10.28
2013-09-30,16.84,$2.07,8.14
2013-06-30,14.0,$1.98,7.07
2013-03-31,14.61,$1.77,8.25
2012-12-31,13.14,$-0.19,0.0
2012-09-30,11.59,$-1.63,0.0
2012-06-30,12.55,$-1.64,0.0
2012-03-31,17.71,$-1.38,0.0
2011-12-31,13.68,$0.46,29.74
2011-09-30,18.7,$1.88,9.95
2011-06-30,24.28,$1.87,12.98
2011-03-31,20.16,$1.82,11.08
