Simply Good Foods PE Ratio Historical Data,Simply Good Foods PE Ratio Historical Data,Simply Good Foods PE Ratio Historical Data,Simply Good Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.05,,22.79
2024-05-31,38.49,$1.45,26.54
2024-02-29,35.48,$1.29,27.5
2023-08-31,36.08,$1.32,27.33
2023-05-31,36.19,$1.26,28.72
2023-02-28,38.29,$1.26,30.39
2022-11-30,39.9,$1.39,28.71
2022-08-31,30.55,$1.21,25.25
2023-11-30,38.74,$1.13,34.28
2022-05-31,39.96,$0.97,41.2
2022-02-28,39.63,$0.65,60.97
2021-11-30,36.97,$0.66,56.02
2021-08-31,35.62,$0.67,53.16
2021-05-31,34.53,$0.60,57.55
2021-02-28,29.17,$0.71,41.08
2020-11-30,21.74,$0.63,34.51
2020-08-31,24.85,$0.35,71.0
2020-05-31,17.03,$0.30,56.77
2020-02-29,22.06,$0.29,76.07
2019-11-30,27.63,$0.33,83.73
2019-08-31,29.63,$0.56,52.91
2019-05-31,21.49,$0.64,33.58
2019-02-28,20.46,$0.58,35.28
2018-11-30,20.32,$0.99,20.53
2018-08-31,18.0,$0.95,18.95
2018-05-31,13.25,$0.80,16.56
