Albany PE Ratio Historical Data,Albany PE Ratio Historical Data,Albany PE Ratio Historical Data,Albany PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,75.39,,21.54
2024-06-30,84.2,$3.50,24.06
2024-03-31,93.24,$3.56,26.19
2023-12-31,97.66,$3.55,27.51
2023-09-30,85.55,$3.16,27.07
2023-06-30,92.25,$2.63,35.07
2023-03-31,88.12,$3.03,29.08
2022-12-31,96.96,$3.04,31.89
2022-09-30,77.33,$3.34,23.15
2022-06-30,77.1,$3.95,19.52
2022-03-31,82.31,$3.67,22.43
2021-12-31,86.14,$3.65,23.6
2021-09-30,74.68,$3.62,20.63
2021-06-30,86.5,$3.58,24.16
2021-03-31,80.7,$3.61,22.36
2020-12-31,70.82,$3.04,23.3
2020-09-30,47.63,$3.09,15.41
2020-06-30,56.27,$3.42,16.45
2020-03-31,45.23,$3.47,13.03
2019-12-31,72.2,$4.09,17.65
2019-09-30,85.54,$3.73,22.93
2019-06-30,78.48,$3.36,23.36
2019-03-31,67.6,$3.25,20.8
2018-12-31,58.8,$2.67,22.02
2018-09-30,74.65,$2.25,33.18
2018-06-30,56.36,$1.85,30.46
2018-03-31,58.59,$0.94,62.33
2017-12-31,57.28,$0.96,59.67
2017-09-30,53.36,$1.33,40.12
2017-06-30,49.48,$1.27,38.96
2017-03-31,42.52,$1.56,27.26
2016-12-31,42.59,$1.64,25.97
2016-09-30,38.85,$2.32,16.74
2016-06-30,36.45,$2.21,16.49
2016-03-31,34.16,$1.82,18.77
2015-12-31,33.07,$1.78,18.58
2015-09-30,25.77,$0.86,29.96
2015-06-30,35.64,$0.93,38.32
2015-03-31,35.44,$1.35,26.25
2014-12-31,33.74,$1.30,25.95
2014-09-30,30.09,$1.32,22.8
2014-06-30,33.42,$1.10,30.38
2014-03-31,31.15,$0.52,59.9
2013-12-31,31.36,$0.55,57.03
2013-09-30,30.96,$0.54,57.34
2013-06-30,28.13,$0.69,40.76
2013-03-31,24.41,$-0.16,0.0
2012-12-31,18.98,$0.97,19.56
2012-09-30,18.15,$0.48,37.81
2012-06-30,15.26,$0.71,21.49
2012-03-31,18.43,$2.07,8.91
2011-12-31,18.18,$1.11,16.37
2011-09-30,14.04,$2.00,7.02
2011-06-30,19.77,$1.59,12.43
2011-03-31,18.27,$1.56,11.71
2010-12-31,17.04,$1.17,14.57
2010-09-30,13.35,$0.69,19.34
2010-06-30,11.14,$0.37,30.1
2010-03-31,14.46,$-0.29,0.0
2009-12-31,14.74,$-1.06,0.0
