Maravai LifeSciences Holdings PE Ratio Historical Data,Maravai LifeSciences Holdings PE Ratio Historical Data,Maravai LifeSciences Holdings PE Ratio Historical Data,Maravai LifeSciences Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.11,,0.0
2024-06-30,7.16,$-0.99,0.0
2024-03-31,8.67,$-0.99,0.0
2023-12-31,6.55,$-0.90,0.0
2023-09-30,10.0,$0.18,55.56
2023-06-30,12.43,$0.57,21.81
2023-03-31,14.01,$1.15,12.18
2022-12-31,14.31,$1.65,8.67
2022-09-30,25.53,$1.79,14.26
2022-06-30,28.41,$1.68,16.91
2022-03-31,35.27,$1.59,22.18
2021-12-31,41.9,$1.33,31.5
2021-09-30,49.08,$1.04,47.19
