Atkore PE Ratio Historical Data,Atkore PE Ratio Historical Data,Atkore PE Ratio Historical Data,Atkore PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,88.64,,6.22
2024-06-30,134.48,$14.24,9.44
2024-03-31,189.34,$16.04,11.8
2023-12-31,158.83,$16.57,9.59
2023-09-30,148.1,$18.14,8.16
2023-06-30,154.8,$20.25,7.64
2022-12-31,112.59,$20.20,5.57
2022-09-30,77.24,$20.32,3.8
2022-06-30,82.4,$19.40,4.25
2022-03-31,97.72,$17.97,5.44
2021-12-31,110.37,$16.53,6.68
2021-09-30,86.28,$14.79,5.83
2023-03-31,139.45,$12.28,11.36
2021-06-30,70.48,$9.08,7.76
2021-03-31,71.37,$5.93,12.04
2020-12-31,40.81,$4.15,9.83
2020-09-30,22.56,$3.11,7.26
2020-06-30,27.15,$2.94,9.23
2020-03-31,20.92,$3.20,6.54
2019-12-31,40.16,$3.01,13.34
2019-09-30,30.13,$2.84,10.61
2019-06-30,25.68,$2.56,10.03
2019-03-31,21.37,$2.51,8.51
2018-12-31,19.69,$2.69,7.32
2018-09-30,26.34,$2.56,10.29
2018-06-30,20.62,$2.21,9.33
2018-03-31,19.7,$1.92,10.26
2017-12-31,21.29,$1.41,15.1
2017-09-30,19.37,$1.26,15.37
2017-06-30,22.38,$1.19,18.81
2017-03-31,26.09,$1.11,23.5
