Exp World Holdings PE Ratio Historical Data,Exp World Holdings PE Ratio Historical Data,Exp World Holdings PE Ratio Historical Data,Exp World Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.98,,0.0
2024-06-30,11.24,$-0.15,0.0
2024-03-31,10.25,$-0.17,0.0
2023-12-31,15.33,$-0.06,0.0
2023-09-30,15.99,$0.03,532.86
2023-06-30,19.91,$0.05,398.26
2023-03-31,12.42,$0.05,248.37
2022-12-31,10.8,$0.10,108.0
2022-09-30,10.89,$0.25,43.55
2022-06-30,11.4,$0.37,30.82
2022-03-31,20.45,$0.55,37.19
2021-12-31,32.49,$0.52,62.49
2021-09-30,38.32,$0.47,81.54
2021-06-30,37.33,$0.42,88.88
2021-03-31,43.86,$0.24,186.63
2020-12-31,30.39,$0.21,148.24
2020-09-30,19.42,$0.16,121.38
2020-06-30,8.21,$0.05,182.41
2020-03-31,4.07,$-0.03,0.0
2019-12-31,5.45,$-0.08,0.0
2019-09-30,4.03,$-0.13,0.0
2019-06-30,5.36,$-0.16,0.0
2019-03-31,5.23,$-0.15,0.0
