KB Home PE Ratio Historical Data,KB Home PE Ratio Historical Data,KB Home PE Ratio Historical Data,KB Home PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,83.73,,10.73
2024-08-31,83.71,$7.80,10.73
2024-05-31,70.38,$7.56,9.31
2024-02-29,65.98,$7.35,8.98
2023-11-30,51.58,$7.04,7.33
2023-08-31,50.1,$7.66,6.54
2023-05-31,42.57,$8.72,4.88
2023-02-28,34.54,$9.10,3.8
2022-11-30,30.62,$9.12,3.36
2022-08-31,27.8,$8.56,3.25
2022-05-31,33.3,$7.30,4.56
2022-02-28,37.12,$6.48,5.73
2021-11-30,38.32,$6.03,6.35
2021-08-31,41.09,$5.24,7.84
2021-05-31,44.53,$4.47,9.96
2021-02-28,38.3,$3.52,10.88
2020-11-30,33.26,$3.13,10.63
2020-08-31,33.64,$3.32,10.13
2020-05-31,31.04,$3.22,9.64
2020-02-29,30.47,$3.18,9.58
2019-11-30,32.26,$2.86,11.28
2019-08-31,26.13,$2.51,10.41
2019-05-31,23.3,$2.65,8.79
2019-02-28,21.13,$2.71,7.8
2018-11-30,19.33,$1.58,12.23
2018-08-31,22.72,$1.46,15.56
2018-05-31,24.06,$1.10,21.87
2018-02-28,25.32,$0.86,29.45
2017-11-30,28.6,$1.83,15.63
2017-08-31,19.5,$1.39,14.03
2017-05-31,19.09,$1.30,14.69
2017-02-28,16.13,$1.14,14.15
2016-11-30,14.38,$1.13,12.72
2016-08-31,14.22,$1.16,12.26
2016-05-31,12.61,$0.97,13.0
2016-02-29,11.01,$0.90,12.24
2015-11-30,12.69,$0.84,15.11
2015-08-31,13.17,$8.77,1.5
2015-05-31,13.27,$8.82,1.5
2015-02-28,12.5,$8.99,1.39
2014-11-30,15.71,$9.03,1.74
2014-08-31,15.85,$0.98,16.17
2014-05-31,14.69,$1.00,14.69
2014-02-28,18.16,$0.69,26.31
2013-11-30,15.58,$0.41,38.0
2013-08-31,14.23,$0.20,71.14
2013-05-31,19.64,$-0.06,0.0
2013-02-28,16.55,$-0.33,0.0
2012-11-30,12.69,$-0.76,0.0
2012-08-31,9.74,$-0.68,0.0
2012-05-31,6.38,$-0.85,0.0
2012-02-29,10.02,$-1.43,0.0
2011-11-30,6.41,$-2.33,0.0
2011-08-31,5.7,$-2.28,0.0
2011-05-31,10.53,$-2.17,0.0
2011-02-28,11.3,$-1.68,0.0
2010-11-30,9.6,$-0.90,0.0
2010-08-31,8.71,$0.18,48.39
2010-05-31,12.17,$-0.67,0.0
2010-02-28,13.63,$-1.30,0.0
2009-11-30,11.3,$-1.34,0.0
