GoodRx Holdings PE Ratio Historical Data,GoodRx Holdings PE Ratio Historical Data,GoodRx Holdings PE Ratio Historical Data,GoodRx Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.88,,0.0
2024-06-30,7.8,$-0.13,0.0
2024-03-31,7.1,$-0.01,0.0
2023-12-31,6.7,$-0.02,0.0
2023-09-30,5.63,$0.04,140.75
2023-06-30,5.52,$0.03,184.0
2023-03-31,6.25,$-0.11,0.0
2022-12-31,4.66,$-0.07,0.0
2022-09-30,4.67,$-0.17,0.0
2022-06-30,5.92,$-0.11,0.0
2022-03-31,19.33,$-0.04,0.0
2021-12-31,32.68,$-0.07,0.0
2021-09-30,41.02,$-0.71,0.0
2021-06-30,36.01,$-0.88,0.0
