Dycom Industries PE Ratio Historical Data,Dycom Industries PE Ratio Historical Data,Dycom Industries PE Ratio Historical Data,Dycom Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,196.3,,24.39
2024-07-31,183.51,$8.05,22.8
2024-04-30,140.02,$7.76,18.04
2024-01-31,111.7,$7.37,15.16
2023-10-31,85.18,$7.41,11.5
2023-07-31,99.58,$6.39,15.58
2023-04-30,92.62,$5.82,15.91
2023-01-31,95.37,$4.12,23.15
2022-10-31,118.18,$4.23,27.94
2022-07-31,103.16,$3.02,34.16
2022-01-31,84.29,$1.59,53.01
2021-10-31,79.42,$1.43,55.54
2021-07-31,69.4,$1.14,60.88
2021-04-30,93.81,$1.60,58.63
2021-01-31,81.14,$2.72,29.83
2022-04-30,84.91,$1.82,46.65
2020-10-31,64.94,$0.82,79.2
2020-07-31,42.83,$0.53,80.81
2020-04-30,32.6,$0.32,101.88
2020-01-31,40.42,$1.80,22.46
2019-10-31,45.59,$1.77,25.76
2019-07-31,55.16,$1.88,29.34
2019-04-30,49.59,$1.88,26.38
2019-01-31,58.05,$1.96,29.62
2018-10-31,67.88,$3.24,20.95
2018-07-31,89.16,$2.37,37.62
2018-04-30,103.86,$2.65,39.19
2017-10-31,87.83,$2.86,30.71
2017-07-31,90.6,$3.55,25.52
2017-04-30,105.66,$3.55,29.76
2017-01-31,80.66,$3.33,24.22
2016-10-31,76.93,$3.05,25.22
2016-07-31,94.05,$2.37,39.68
2016-04-30,70.6,$2.37,29.79
2016-01-31,66.26,$1.95,33.98
2015-10-31,76.09,$1.76,43.23
2015-07-31,66.06,$1.44,45.88
2015-04-30,45.98,$1.44,31.93
2015-01-31,30.81,$1.09,28.27
2014-10-31,31.39,$0.73,43.0
2014-07-31,28.12,$0.68,41.35
2014-04-30,31.4,$0.68,46.18
2014-01-31,27.83,$0.66,42.17
2013-10-31,29.65,$0.79,37.53
2013-07-31,26.48,$0.60,44.13
2013-04-30,19.32,$0.60,32.2
2013-01-31,20.98,$0.67,31.31
2012-10-31,14.24,$0.73,19.51
2012-07-31,17.42,$0.76,22.92
2012-04-30,23.39,$0.76,30.78
2012-01-31,21.37,$0.52,41.1
2011-10-31,19.43,$0.60,32.38
2011-07-31,17.04,$0.22,77.45
2011-04-30,14.86,$0.26,57.15
2010-10-31,10.7,$0.12,89.17
2010-07-31,9.05,$0.03,301.67
2010-04-30,10.62,$0.03,354.0
2010-01-31,8.17,$0.18,45.39
2009-10-31,9.88,$0.28,35.29
2009-07-31,12.73,$-1.80,0.0
2009-04-30,8.42,$-1.94,0.0
