SLM PE Ratio Historical Data,SLM PE Ratio Historical Data,SLM PE Ratio Historical Data,SLM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.64,,7.36
2024-06-30,20.68,$3.21,6.44
2024-03-31,21.56,$3.20,6.74
2023-12-31,18.82,$2.40,7.84
2023-09-30,13.31,$1.35,9.86
2023-06-30,15.83,$1.53,10.35
2023-03-31,11.93,$1.72,6.94
2022-12-31,15.86,$1.70,9.33
2022-09-30,13.28,$3.07,4.33
2022-06-30,15.02,$3.02,4.97
2022-03-31,17.21,$2.17,7.93
2021-12-31,18.33,$3.47,5.28
2021-09-30,16.3,$3.56,4.58
2021-06-30,19.36,$3.77,5.14
2021-03-31,16.59,$3.10,5.35
2020-12-31,11.42,$2.22,5.14
2020-09-30,7.44,$1.41,5.27
2020-06-30,6.44,$1.25,5.15
2020-03-31,6.56,$1.82,3.6
2019-12-31,8.1,$1.30,6.23
2019-09-30,8.0,$1.31,6.11
2019-06-30,8.78,$1.25,7.02
2019-03-31,8.92,$1.15,7.76
2018-12-31,7.46,$1.08,6.91
2018-09-30,10.01,$0.85,11.78
2018-06-30,10.28,$0.79,13.02
2018-03-31,10.07,$0.70,14.38
2017-12-31,10.15,$0.62,16.37
2017-09-30,10.3,$0.67,15.38
2017-06-30,10.33,$0.62,16.66
2017-03-31,10.87,$0.59,18.42
2016-12-31,9.9,$0.53,18.67
2016-09-30,6.71,$0.58,11.57
2016-06-30,5.55,$0.55,10.09
2016-03-31,5.71,$0.63,9.07
2015-12-31,5.86,$0.59,9.93
2015-09-30,6.65,$0.42,15.82
2015-06-30,8.86,$0.51,17.38
2015-03-31,8.33,$0.40,20.84
2014-12-31,9.15,$0.94,9.74
2014-09-30,7.69,$1.51,5.09
2014-06-30,7.46,$1.90,3.93
2014-03-31,7.86,$3.01,2.61
2013-12-31,8.38,$3.11,2.7
2013-09-30,7.9,$3.25,2.43
2013-06-30,7.21,$3.07,2.35
2013-03-31,6.42,$2.46,2.61
2012-12-31,5.32,$1.93,2.76
2012-09-30,4.85,$2.18,2.22
2012-06-30,4.81,$1.69,2.84
2012-03-31,4.78,$1.08,4.43
2011-12-31,4.03,$1.19,3.39
2011-09-30,3.72,$1.04,3.58
2011-06-30,4.98,$0.08,62.3
2011-03-31,4.51,$0.73,6.18
2010-12-31,3.71,$0.86,4.31
2010-09-30,3.4,$0.54,6.3
2010-06-30,3.06,$1.85,1.66
2010-03-31,3.69,$0.90,4.1
2009-12-31,3.32,$0.35,9.49
