Suburban Propane Partners PE Ratio Historical Data,Suburban Propane Partners PE Ratio Historical Data,Suburban Propane Partners PE Ratio Historical Data,Suburban Propane Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.71,,12.47
2024-06-30,18.63,$1.50,12.42
2024-03-31,19.72,$1.69,11.67
2023-12-31,16.87,$1.59,10.61
2023-09-30,14.96,$1.92,7.79
2023-06-30,13.5,$1.39,9.71
2023-03-31,13.69,$1.43,9.57
2022-12-31,13.29,$2.55,5.21
2022-09-30,12.92,$2.18,5.93
2022-06-30,12.84,$2.78,4.62
2022-03-31,13.29,$2.41,5.51
2021-12-31,11.83,$1.69,7.0
2021-09-30,12.15,$1.96,6.2
2021-06-30,11.9,$1.56,7.63
2021-03-31,11.27,$1.72,6.55
2020-12-31,11.09,$0.93,11.93
2020-09-30,11.93,$0.96,12.43
2020-06-30,10.24,$0.80,12.8
2020-03-31,9.71,$0.58,16.74
2019-12-31,14.6,$1.29,11.32
2019-09-30,15.4,$1.10,14.0
2019-06-30,15.43,$1.09,14.16
2019-03-31,13.88,$1.29,10.76
2018-12-31,11.62,$1.08,10.76
2018-09-30,13.82,$1.23,11.23
2018-06-30,13.44,$1.23,10.92
2018-03-31,12.26,$1.02,12.02
2017-12-31,13.17,$0.65,20.27
2017-09-30,13.86,$0.61,22.73
2017-06-30,12.2,$0.45,27.11
2017-03-31,13.37,$0.44,30.38
2016-12-31,14.49,$0.59,24.55
2016-09-30,15.62,$0.23,67.93
2016-06-30,15.27,$0.11,138.85
2016-03-31,13.28,$-0.07,0.0
2015-12-31,10.44,$0.66,15.82
2015-09-30,13.76,$1.38,9.97
2015-06-30,16.31,$1.59,10.26
2015-03-31,17.22,$1.28,13.46
2014-12-31,16.99,$1.50,11.33
2014-09-30,17.17,$1.55,11.08
2014-06-30,17.38,$1.40,12.42
2014-03-31,15.39,$1.61,9.56
2013-12-31,17.04,$1.43,11.91
2013-09-30,16.69,$1.50,11.12
2013-06-30,16.25,$1.26,12.9
2013-03-31,15.3,$1.77,8.64
2012-12-31,13.07,$0.87,15.03
2012-09-30,13.63,$0.48,28.4
2012-06-30,13.33,$1.16,11.49
2012-03-31,13.62,$1.23,11.07
2011-12-31,14.8,$2.66,5.56
2011-09-30,14.17,$3.22,4.4
2011-06-30,15.66,$3.13,5.0
2011-03-31,16.66,$3.13,5.32
2010-12-31,16.31,$3.08,5.3
2010-09-30,15.58,$3.23,4.83
2010-06-30,13.18,$3.26,4.04
2010-03-31,13.14,$3.22,4.08
2009-12-31,12.8,$3.94,3.25
