MGIC Investment PE Ratio Historical Data,MGIC Investment PE Ratio Historical Data,MGIC Investment PE Ratio Historical Data,MGIC Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.39,,9.74
2024-06-30,21.43,$2.71,7.91
2024-03-31,22.12,$2.60,8.51
2023-12-31,18.97,$2.49,7.62
2023-09-30,16.3,$2.47,6.6
2023-06-30,15.33,$2.64,5.81
2023-03-31,12.94,$2.78,4.65
2022-12-31,12.44,$2.79,4.46
2022-09-30,12.18,$2.67,4.56
2022-06-30,11.89,$2.32,5.12
2022-03-31,12.71,$1.96,6.48
2021-12-31,13.45,$1.85,7.27
2021-09-30,13.89,$1.77,7.85
2021-06-30,12.56,$1.69,7.43
2021-03-31,12.73,$1.29,9.87
2020-12-31,11.48,$1.28,8.97
2020-09-30,8.06,$1.33,6.06
2020-06-30,7.4,$1.44,5.14
2020-03-31,5.69,$1.86,3.06
2019-12-31,12.65,$1.86,6.8
2019-09-30,11.18,$1.80,6.21
2019-06-30,11.62,$1.80,6.46
2019-03-31,11.67,$1.83,6.37
2018-12-31,9.25,$1.79,5.17
2018-09-30,11.77,$1.43,8.23
2018-06-30,9.48,$1.26,7.52
2018-03-31,11.5,$1.08,10.65
2017-12-31,12.48,$0.94,13.28
2017-09-30,11.08,$1.15,9.64
2017-06-30,9.91,$0.97,10.21
2017-03-31,8.96,$0.92,9.74
2016-12-31,9.01,$0.85,10.6
2016-09-30,7.08,$0.81,8.74
2016-06-30,5.26,$2.45,2.15
2016-03-31,6.78,$2.47,2.75
2015-12-31,7.81,$2.62,2.98
2015-09-30,8.19,$2.57,3.19
2015-06-30,10.06,$0.97,10.38
2015-03-31,8.52,$0.81,10.51
2014-12-31,8.24,$0.64,12.88
2014-09-30,6.91,$0.45,15.35
2014-06-30,8.17,$0.31,26.36
2014-03-31,7.54,$0.23,32.76
2013-12-31,7.46,$-0.23,0.0
2013-09-30,6.44,$-2.14,0.0
2013-06-30,5.37,$-3.40,0.0
2013-03-31,4.38,$-4.80,0.0
2012-12-31,2.35,$-4.59,0.0
2012-09-30,1.35,$-3.35,0.0
2012-06-30,2.55,$-2.95,0.0
2012-03-31,4.39,$-2.34,0.0
2011-12-31,3.3,$-2.41,0.0
2011-09-30,1.65,$-2.67,0.0
2011-06-30,5.26,$-2.11,0.0
2011-03-31,7.86,$-1.23,0.0
2010-12-31,9.01,$-2.26,0.0
2010-09-30,8.16,$-3.58,0.0
2010-06-30,6.09,$-7.49,0.0
2010-03-31,9.7,$-10.36,0.0
2009-12-31,5.11,$-10.65,0.0
