BILL Holdings PE Ratio Historical Data,BILL Holdings PE Ratio Historical Data,BILL Holdings PE Ratio Historical Data,BILL Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.67,,0.0
2024-06-30,52.62,$-0.67,0.0
2024-03-31,68.72,$-0.79,0.0
2023-12-31,81.59,$-1.08,0.0
2023-09-30,108.57,$-1.60,0.0
2023-06-30,116.85,$-2.12,0.0
2023-03-31,81.14,$-2.78,0.0
2022-12-31,108.96,$-3.33,0.0
2022-09-30,132.37,$-3.21,0.0
2022-06-30,109.94,$-3.22,0.0
2022-03-31,226.79,$-2.89,0.0
2021-12-31,249.15,$-2.37,0.0
2021-09-30,266.95,$-1.80,0.0
2021-06-30,183.18,$-1.17,0.0
2021-03-31,145.5,$-0.82,0.0
2020-12-31,136.5,$-0.61,0.0
2020-09-30,100.31,$-0.52,0.0
