Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,61.23,,18.28
2024-06-30,53.41,$3.35,15.94
2024-03-31,53.21,$3.33,15.98
2023-12-31,60.65,$3.21,18.89
2023-09-30,55.58,$3.16,17.59
2023-06-30,59.86,$3.15,19.0
2023-03-31,64.4,$3.23,19.94
2022-12-31,66.42,$3.17,20.95
2022-09-30,60.22,$3.06,19.68
2022-06-30,66.15,$3.01,21.98
2022-03-31,66.97,$2.99,22.4
2021-12-31,62.38,$2.96,21.08
2021-09-30,57.2,$2.92,19.59
2021-06-30,59.88,$2.93,20.44
2021-03-31,60.05,$2.89,20.78
2020-12-31,59.76,$2.78,21.5
2020-09-30,61.45,$2.80,21.95
2020-06-30,55.31,$2.67,20.71
2020-03-31,53.0,$2.59,20.46
2019-12-31,55.42,$2.64,20.99
2019-09-30,56.28,$2.50,22.51
2019-06-30,51.27,$2.45,20.92
2019-03-31,48.11,$2.51,19.17
2018-12-31,41.87,$2.47,16.95
2018-09-30,39.81,$2.42,16.45
2018-06-30,38.22,$2.43,15.73
2018-03-31,37.72,$2.36,15.98
2017-12-31,39.56,$2.26,17.5
2017-09-30,38.62,$2.34,16.5
2017-06-30,37.17,$2.27,16.37
2017-03-31,35.74,$2.21,16.17
2016-12-31,32.45,$2.21,14.68
2016-09-30,32.53,$2.17,14.99
2016-06-30,35.12,$2.11,16.64
2016-03-31,32.54,$2.11,15.42
2015-12-31,27.7,$1.94,14.28
2015-09-30,27.07,$1.92,14.1
2015-06-30,24.37,$1.81,13.46
2015-03-31,26.1,$1.81,14.42
2014-12-31,26.68,$2.03,13.14
2014-09-30,22.39,$1.94,11.54
2014-06-30,23.51,$1.94,12.12
2014-03-31,21.94,$1.95,11.25
2013-12-31,19.99,$1.91,10.47
2013-09-30,19.56,$1.90,10.29
2013-06-30,19.87,$1.98,10.04
2013-03-31,20.63,$1.96,10.52
2012-12-31,18.38,$1.86,9.88
2012-09-30,18.87,$1.86,10.15
2012-06-30,19.16,$1.74,11.01
2012-03-31,17.69,$1.69,10.47
2011-12-31,18.29,$1.73,10.57
2011-09-30,16.18,$1.73,9.35
2011-06-30,15.76,$1.71,9.22
2011-03-31,15.33,$1.68,9.13
2010-12-31,14.95,$1.62,9.23
2010-09-30,14.43,$1.70,8.49
2010-06-30,12.81,$1.51,8.48
2010-03-31,13.02,$1.46,8.92
2009-12-31,12.88,$1.48,8.7
