STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,241.1,,59.83
2024-06-30,219.54,$4.03,54.48
2024-03-31,224.3,$4.45,50.41
2023-12-31,218.86,$5.70,38.4
2023-09-30,217.87,$1.13,192.8
2023-03-31,189.06,$1.07,176.69
2022-12-31,182.09,$-0.29,0.0
2022-09-30,163.5,$-0.28,0.0
2022-06-30,202.23,$4.29,47.14
2022-03-31,236.69,$3.88,61.0
2023-06-30,222.87,$3.12,71.43
2021-12-31,237.85,$2.89,82.3
2021-09-30,199.24,$2.80,71.16
2021-06-30,200.82,$3.34,60.12
2021-03-31,185.03,$4.61,40.14
2020-12-31,183.69,$5.03,36.52
2020-09-30,170.39,$4.93,34.56
2020-06-30,148.01,$4.81,30.77
2020-03-31,134.68,$4.77,28.23
2019-12-31,146.34,$4.60,31.81
2019-09-30,138.39,$3.93,35.21
2019-06-30,142.23,$3.73,38.13
2019-03-31,122.01,$3.56,34.27
2018-12-31,101.54,$3.15,32.24
2018-09-30,108.4,$3.70,29.3
2018-06-30,99.21,$3.54,28.02
2018-03-31,87.94,$3.40,25.86
2017-12-31,82.11,$2.85,28.81
2017-09-30,82.7,$1.68,49.23
2017-06-30,75.97,$1.40,54.26
2017-03-31,64.52,$1.28,50.4
2016-12-31,62.34,$1.64,38.01
2016-09-30,67.34,$1.96,34.36
2016-06-30,63.08,$1.63,38.7
2016-03-31,64.96,$1.47,44.19
2015-12-31,68.62,$1.49,46.05
2015-09-30,59.18,$1.86,31.81
2015-06-30,58.69,$2.24,26.2
2015-03-31,64.0,$2.25,28.45
2014-12-31,59.07,$2.21,26.73
2014-09-30,49.15,$2.06,23.86
2014-06-30,48.71,$2.04,23.88
2014-03-31,43.49,$2.17,20.04
2013-12-31,43.76,$2.22,19.71
2013-09-30,38.95,$2.56,15.21
2013-06-30,38.68,$2.74,14.12
2013-03-31,37.38,$2.72,13.74
2012-12-31,31.05,$2.78,11.17
2012-09-30,31.53,$2.54,12.41
2012-06-30,27.73,$2.36,11.75
2012-03-31,27.79,$2.32,11.98
2011-12-31,26.07,$2.21,11.8
2011-09-30,25.43,$1.99,12.78
2011-06-30,30.21,$0.73,41.39
2011-03-31,29.7,$0.75,39.61
2010-12-31,31.22,$0.79,39.52
2010-06-30,26.36,$0.97,27.18
2010-03-31,28.45,$2.16,13.17
2009-12-31,23.56,$2.13,11.06
2009-09-30,24.13,$2.03,11.89
