SBA Communications PE Ratio Historical Data,SBA Communications PE Ratio Historical Data,SBA Communications PE Ratio Historical Data,SBA Communications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,226.66,,47.82
2024-06-30,195.42,$4.74,41.23
2024-03-31,214.65,$5.10,42.09
2023-12-31,250.17,$4.61,54.27
2023-09-30,196.68,$4.54,43.32
2023-06-30,226.84,$4.65,48.78
2023-03-31,254.55,$3.42,74.43
2022-12-31,272.36,$4.21,64.69
2022-09-30,275.92,$3.71,74.37
2022-06-30,309.57,$3.23,95.84
2022-03-31,332.08,$3.96,83.86
2021-12-31,374.62,$3.18,117.81
2021-09-30,317.81,$2.94,108.1
2021-06-30,305.89,$2.71,112.87
2020-12-31,269.61,$0.20,1348.07
2020-09-30,303.88,$-0.15,0.0
2020-06-30,283.82,$-0.46,0.0
2020-03-31,256.8,$-0.47,0.0
2019-12-31,228.83,$0.95,240.88
2021-03-31,265.86,$0.59,450.61
2019-09-30,228.63,$1.20,190.53
2019-06-30,212.87,$1.15,185.11
2019-03-31,189.03,$0.37,510.9
2018-12-31,153.27,$0.41,373.84
2018-09-30,152.08,$-0.03,0.0
2018-06-30,156.33,$0.24,651.38
2018-03-31,161.82,$0.82,197.35
2017-12-31,154.67,$0.86,179.84
2017-09-30,136.38,$0.84,162.36
2017-06-30,127.72,$0.31,412.0
2017-03-31,113.96,$0.49,232.58
2016-12-31,97.76,$0.61,160.27
2016-09-30,106.19,$0.81,131.1
2016-06-30,102.2,$-0.30,0.0
2016-03-31,94.84,$-0.34,0.0
2015-12-31,99.48,$-1.38,0.0
2015-09-30,99.04,$-1.62,0.0
2015-06-30,108.85,$-0.52,0.0
2015-03-31,110.87,$-0.81,0.0
2014-12-31,104.87,$-0.35,0.0
2014-09-30,105.0,$-0.19,0.0
2014-06-30,96.86,$-0.34,0.0
2013-12-31,85.06,$-0.45,0.0
2013-09-30,76.18,$-0.71,0.0
2013-06-30,70.18,$-1.30,0.0
2013-03-31,68.17,$-1.46,0.0
2012-12-31,67.2,$-1.48,0.0
2012-09-30,59.55,$-1.34,0.0
2012-06-30,54.01,$-1.21,0.0
2012-03-31,48.11,$-1.04,0.0
2011-12-31,40.67,$-1.14,0.0
2011-09-30,32.64,$-1.21,0.0
2011-06-30,36.16,$-1.21,0.0
2011-03-31,37.57,$-1.66,0.0
2010-12-31,38.76,$-1.35,0.0
2010-09-30,38.16,$-1.33,0.0
2010-06-30,32.2,$-1.40,0.0
2014-03-31,86.12,$-1.11,0.0
2010-03-31,34.15,$-1.37,0.0
2009-12-31,32.34,$-1.20,0.0
