Lions Gate Entertainment PE Ratio Historical Data,Lions Gate Entertainment PE Ratio Historical Data,Lions Gate Entertainment PE Ratio Historical Data,Lions Gate Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.61,,0.0
2024-06-30,9.42,$-4.71,0.0
2024-03-31,9.95,$-4.77,0.0
2023-12-31,10.9,$-4.97,0.0
2023-09-30,8.48,$-4.45,0.0
2023-06-30,8.83,$-8.61,0.0
2023-03-31,11.07,$-8.83,0.0
2022-12-31,5.71,$-8.87,0.0
2022-09-30,7.43,$-9.14,0.0
2022-06-30,9.31,$-1.16,0.0
2022-03-31,16.25,$-0.83,0.0
2021-12-31,16.64,$-0.54,0.0
2021-09-30,14.19,$-0.40,0.0
2021-06-30,20.7,$-0.51,0.0
2021-03-31,14.95,$-0.08,0.0
2020-12-31,11.37,$-0.11,0.0
2020-09-30,9.48,$-0.47,0.0
2020-06-30,7.41,$-0.38,0.0
2020-03-31,6.08,$-0.86,0.0
2019-12-31,10.66,$-1.38,0.0
2019-09-30,9.25,$-0.86,0.0
2019-06-30,12.25,$-1.54,0.0
2019-03-31,15.64,$-1.33,0.0
2018-12-31,16.1,$-0.20,0.0
2018-09-30,24.39,$0.57,42.79
2018-06-30,24.72,$1.31,18.87
2018-03-31,25.64,$2.15,11.92
2017-12-31,33.44,$2.02,16.55
2017-09-30,33.08,$0.96,34.46
