City Holding PE Ratio Historical Data,City Holding PE Ratio Historical Data,City Holding PE Ratio Historical Data,City Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,120.96,,15.61
2024-06-30,104.9,$7.75,13.54
2024-03-31,102.16,$7.95,12.85
2023-12-31,107.34,$7.61,14.1
2023-09-30,87.28,$7.82,11.16
2023-06-30,86.32,$7.67,11.25
2023-03-31,86.56,$7.02,12.33
2022-12-31,88.05,$6.80,12.95
2022-09-30,83.31,$6.29,13.24
2022-06-30,74.46,$5.93,12.56
2022-03-31,72.78,$5.83,12.48
2021-12-31,75.11,$5.67,13.25
2021-09-30,71.01,$5.53,12.84
2021-06-30,68.04,$5.31,12.81
2021-03-31,73.43,$5.02,14.63
2020-12-31,61.94,$5.55,11.16
2020-09-30,50.81,$5.53,9.19
2020-06-30,56.95,$5.64,10.1
2020-03-31,57.64,$5.90,9.77
2019-12-31,70.51,$5.42,13.01
2019-09-30,65.11,$4.72,13.79
2019-06-30,64.67,$4.69,13.79
2019-03-31,64.18,$4.66,13.77
2018-12-31,56.49,$4.49,12.58
2018-09-30,63.73,$4.43,14.39
2018-06-30,62.05,$3.99,15.55
2018-03-31,56.18,$3.58,15.69
2017-12-31,54.93,$3.49,15.74
2017-09-30,58.19,$3.84,15.15
2017-06-30,52.95,$3.83,13.82
2017-03-31,51.48,$3.72,13.84
2016-12-31,53.62,$3.46,15.5
2016-09-30,39.55,$3.37,11.74
2016-06-30,35.43,$3.18,11.14
2016-03-31,36.9,$3.13,11.79
2015-12-31,34.9,$3.52,9.91
2015-09-30,37.37,$3.59,10.41
2015-06-30,37.03,$3.66,10.12
2015-03-31,35.05,$3.68,9.52
2014-12-31,34.35,$3.37,10.19
2014-09-30,30.81,$3.28,9.39
2014-06-30,32.7,$3.40,9.62
2014-03-31,32.21,$3.42,9.42
2013-12-31,33.0,$3.07,10.75
2013-09-30,30.53,$2.94,10.39
2013-06-30,27.26,$2.77,9.84
2013-03-31,27.58,$2.45,11.26
2012-12-31,23.93,$2.61,9.17
2012-09-30,24.37,$2.53,9.63
2012-06-30,22.67,$2.58,8.79
2012-03-31,23.14,$2.72,8.51
2011-12-31,22.35,$2.67,8.37
2011-09-30,17.6,$2.66,6.62
2011-06-30,21.32,$2.48,8.6
2011-03-31,22.6,$2.52,8.97
2010-12-31,22.93,$2.48,9.25
2010-09-30,19.21,$2.54,7.56
2010-06-30,17.27,$2.62,6.59
2010-03-31,21.03,$2.58,8.15
2009-12-31,19.6,$2.69,7.29
