United Community Banks PE Ratio Historical Data,United Community Banks PE Ratio Historical Data,United Community Banks PE Ratio Historical Data,United Community Banks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.91,,19.3
2024-06-30,25.25,$1.55,16.29
2024-03-31,25.86,$1.54,16.79
2023-12-31,28.49,$1.55,18.38
2023-09-30,24.55,$2.18,11.26
2023-06-30,23.93,$2.53,9.46
2023-03-31,26.69,$2.61,10.23
2022-12-31,31.82,$2.52,12.63
2022-09-30,30.95,$2.33,13.28
2022-06-30,28.04,$2.41,11.64
2022-03-31,32.09,$2.58,12.44
2021-12-31,32.96,$2.97,11.1
2021-09-30,29.92,$3.08,9.72
2021-06-30,28.98,$2.78,10.42
2021-03-31,30.71,$2.32,13.24
2020-12-31,25.47,$2.11,12.07
2020-09-30,15.06,$2.05,7.35
2020-06-30,17.72,$2.08,8.52
2019-12-31,26.7,$2.31,11.56
2019-09-30,24.37,$2.26,10.78
2019-06-30,24.4,$2.20,11.09
2019-03-31,21.17,$2.12,9.99
2018-12-31,18.11,$1.41,12.85
2018-09-30,23.37,$1.23,19.0
2018-03-31,26.27,$1.08,24.32
2017-12-31,23.27,$0.94,24.75
2017-09-30,23.51,$1.48,15.89
2017-06-30,22.82,$1.59,14.35
2017-03-31,22.65,$1.56,14.52
2016-12-31,24.16,$1.58,15.29
2018-06-30,25.57,$1.51,16.93
2016-09-30,17.1,$1.27,13.46
2016-06-30,14.82,$1.18,12.56
2016-03-31,14.91,$1.11,13.43
2015-12-31,15.67,$1.09,14.38
2015-09-30,16.38,$1.14,14.37
2015-06-30,16.68,$1.16,14.38
2015-03-31,15.05,$1.15,13.09
2014-12-31,15.06,$1.11,13.57
2014-09-30,13.05,$1.03,12.67
2014-06-30,12.96,$0.95,13.64
2014-03-31,15.33,$4.58,3.35
2013-12-31,14.02,$4.48,3.13
2013-09-30,11.84,$4.37,2.71
2013-06-30,9.81,$4.29,2.29
2013-03-31,8.96,$0.45,19.91
2012-12-31,7.46,$0.45,16.57
2012-09-30,6.63,$0.46,14.41
2012-06-30,6.77,$0.17,39.83
2012-03-31,7.7,$0.19,40.54
2011-12-31,5.52,$-7.81,0.0
2011-09-30,6.71,$-8.93,0.0
2011-06-30,8.34,$-21.37,0.0
2011-03-31,9.2,$-24.75,0.0
2010-12-31,7.7,$-18.80,0.0
2010-09-30,8.85,$-20.05,0.0
2010-06-30,15.6,$-14.60,0.0
2010-03-31,17.42,$-13.19,0.0
2009-12-31,13.39,$-22.12,0.0
2009-09-30,19.75,$-19.47,0.0
