Cathay General Bancorp PE Ratio Historical Data,Cathay General Bancorp PE Ratio Historical Data,Cathay General Bancorp PE Ratio Historical Data,Cathay General Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.61,,11.2
2024-06-30,37.43,$4.16,9.0
2024-03-31,37.19,$4.52,8.23
2023-12-31,43.44,$4.86,8.94
2023-09-30,33.56,$5.06,6.63
2023-06-30,30.78,$5.28,5.83
2023-03-31,32.65,$5.18,6.3
2022-12-31,38.29,$4.85,7.89
2022-09-30,35.83,$4.50,7.96
2022-06-30,36.18,$4.08,8.87
2022-03-31,41.01,$3.87,10.6
2021-12-31,39.11,$3.80,10.29
2021-09-30,37.36,$3.71,10.07
2021-06-30,35.25,$3.49,10.1
2021-03-31,36.25,$3.20,11.33
2020-12-31,28.38,$2.87,9.89
2020-09-30,18.91,$2.82,6.71
2020-06-30,22.65,$3.02,7.5
2020-03-31,19.54,$3.24,6.03
2019-12-31,32.08,$3.48,9.22
2019-09-30,29.04,$3.44,8.44
2019-06-30,29.74,$3.38,8.8
2019-03-31,27.83,$3.38,8.23
2018-12-31,27.3,$3.33,8.2
2018-09-30,33.47,$2.85,11.75
2018-06-30,32.52,$2.61,12.46
2018-03-31,31.93,$2.35,13.59
2017-12-31,33.48,$2.18,15.36
2017-09-30,31.74,$2.46,12.9
2017-06-30,29.79,$2.43,12.26
2017-03-31,29.4,$2.36,12.46
2016-12-31,29.52,$2.26,13.06
2016-09-30,23.75,$2.13,11.15
2016-03-31,21.61,$2.11,10.24
2015-12-31,23.74,$1.99,11.93
2015-09-30,22.59,$1.92,11.76
2015-06-30,24.35,$1.90,12.81
2015-03-31,21.25,$1.78,11.94
2014-12-31,19.04,$1.72,11.07
2014-09-30,18.4,$1.68,10.95
2014-06-30,18.89,$1.61,11.73
2014-03-31,18.56,$1.52,12.21
2013-12-31,19.66,$1.57,12.52
2013-09-30,17.16,$1.48,11.59
2013-06-30,14.93,$1.43,10.44
2016-06-30,21.64,$1.41,15.35
2012-12-31,14.32,$1.29,11.1
2012-09-30,12.65,$1.28,9.88
2012-06-30,12.09,$1.25,9.67
2012-03-31,12.95,$1.20,10.79
2011-12-31,10.92,$1.14,9.58
2013-03-31,14.76,$1.07,13.79
2011-09-30,8.32,$0.95,8.75
2011-06-30,11.97,$0.84,14.25
2011-03-31,12.44,$0.55,22.62
2010-12-31,12.18,$-0.09,0.0
2010-09-30,8.67,$-0.91,0.0
2010-06-30,7.52,$-1.51,0.0
2010-03-31,8.45,$-2.06,0.0
2009-12-31,5.49,$-1.53,0.0
