Koninklijke Philips PE Ratio Historical Data,Koninklijke Philips PE Ratio Historical Data,Koninklijke Philips PE Ratio Historical Data,Koninklijke Philips PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.76,,0.0
2024-06-30,25.2,$-0.09,0.0
2023-09-30,19.28,$-0.63,0.0
2023-06-30,20.97,$-0.68,0.0
2023-03-31,16.99,$-0.52,0.0
2022-06-30,19.93,$0.58,34.36
2021-06-30,44.27,$0.60,73.78
2020-06-30,40.97,$0.85,48.2
2019-06-30,35.97,$1.32,27.25
2018-06-30,34.07,$1.47,23.18
2017-06-30,28.24,$1.98,14.26
2016-12-31,23.51,$1.71,13.75
2016-09-30,22.76,$0.94,24.21
2016-06-30,19.18,$0.87,22.05
2016-03-31,21.19,$0.69,30.71
2015-12-31,18.89,$0.78,24.22
2015-09-30,17.41,$1.00,17.41
2015-06-30,18.9,$0.48,39.37
2015-03-31,20.38,$0.51,39.96
2014-12-31,20.85,$0.60,34.75
2014-09-30,22.8,$1.03,22.14
2014-06-30,22.84,$1.59,14.36
2014-03-31,24.43,$1.68,14.54
2013-12-31,25.69,$1.69,15.2
2013-09-30,22.41,$0.57,39.31
2013-06-30,18.89,$0.39,48.44
2013-03-31,19.81,$0.16,123.78
2012-12-31,17.79,$0.29,61.34
2012-09-30,15.72,$0.58,27.1
2012-06-30,13.18,$0.45,29.3
2012-03-31,12.95,$-1.76,0.0
2011-12-31,13.33,$-1.91,0.0
2011-09-30,11.42,$-1.02,0.0
2011-06-30,16.34,$-0.42,0.0
2011-03-31,19.84,$1.91,10.38
2010-12-31,18.93,$2.01,9.42
2010-09-30,19.31,$1.75,11.03
2010-06-30,18.4,$1.31,14.04
2010-03-31,19.74,$1.04,18.98
2009-12-31,17.63,$0.66,26.72
