MFA Financial PE Ratio Historical Data,MFA Financial PE Ratio Historical Data,MFA Financial PE Ratio Historical Data,MFA Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.64,,21.79
2024-06-30,10.35,$0.58,17.85
2024-03-31,10.75,$-0.08,0.0
2023-12-31,10.29,$0.40,25.74
2023-09-30,8.52,$-0.38,0.0
2023-06-30,9.61,$-0.36,0.0
2023-03-31,8.22,$-1.08,0.0
2022-12-31,7.88,$-2.56,0.0
2022-09-30,6.01,$-2.22,0.0
2022-06-30,7.88,$-0.52,0.0
2022-03-31,11.36,$1.06,10.72
2021-12-31,12.52,$2.60,4.81
2021-09-30,12.25,$2.60,4.71
2021-06-30,12.04,$2.20,5.47
2021-03-31,10.45,$2.44,4.28
2020-12-31,9.81,$-6.32,0.0
2020-09-30,6.63,$-5.80,0.0
2020-06-30,6.05,$-5.68,0.0
2020-03-31,3.76,$-5.64,0.0
2019-12-31,16.42,$3.20,5.13
2019-09-30,15.39,$2.88,5.35
2019-06-30,14.62,$2.84,5.15
2019-03-31,14.4,$2.72,5.3
2018-12-31,12.88,$2.76,4.67
2018-09-30,13.76,$3.20,4.3
2018-06-30,13.82,$3.04,4.54
2018-03-31,13.37,$3.16,4.23
2017-12-31,13.7,$3.16,4.33
2017-09-30,14.78,$2.92,5.06
2017-06-30,13.84,$3.12,4.43
2017-03-31,13.01,$3.12,4.17
2016-12-31,11.99,$3.12,3.84
2016-09-30,11.45,$3.16,3.62
2016-06-30,10.84,$3.16,3.43
2016-03-31,9.93,$3.16,3.14
2015-12-31,9.29,$3.20,2.9
2015-09-30,9.31,$3.24,2.87
2015-06-30,9.82,$3.24,3.03
2015-03-31,10.18,$3.24,3.14
2014-12-31,10.09,$3.20,3.15
2014-09-30,9.59,$3.20,3.0
2014-06-30,9.87,$3.16,3.12
2014-03-31,9.09,$3.12,2.91
2013-12-31,8.07,$3.16,2.55
2013-09-30,8.03,$3.12,2.57
2013-06-30,8.55,$3.16,2.71
2013-03-31,9.21,$3.20,2.88
2012-12-31,7.22,$3.28,2.2
2012-09-30,7.2,$3.28,2.2
2012-06-30,6.1,$3.40,1.79
2012-03-31,5.59,$3.48,1.61
2011-12-31,5.03,$3.64,1.38
2011-09-30,4.87,$3.72,1.31
2011-06-30,5.4,$3.88,1.39
2011-03-31,5.35,$3.64,1.47
2010-12-31,5.32,$3.72,1.43
2010-09-30,4.7,$3.96,1.19
2010-06-30,4.44,$3.88,1.14
2010-03-31,4.27,$4.44,0.96
2009-12-31,4.27,$4.20,1.02
