Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,61.48,,0.0
2024-06-30,45.19,$-10.16,0.0
2024-03-31,44.86,$2.53,17.73
2023-12-31,49.61,$1.04,47.7
2023-09-30,38.15,$1.67,22.84
2023-06-30,33.02,$2.15,15.36
2023-03-31,43.8,$2.60,16.85
2022-12-31,56.44,$4.69,12.03
2022-09-30,57.32,$4.96,11.56
2022-06-30,63.07,$4.90,12.87
2022-03-31,65.74,$5.00,13.15
2021-12-31,66.33,$5.21,12.73
2021-09-30,64.99,$5.30,12.26
2021-06-30,67.35,$5.48,12.29
2021-03-31,65.49,$5.03,13.02
2020-12-31,56.44,$4.67,12.09
2020-09-30,39.66,$4.49,8.83
2020-06-30,36.18,$4.40,8.22
2020-03-31,20.97,$4.65,4.51
2019-12-31,48.88,$4.47,10.93
2019-09-30,46.17,$4.41,10.47
2019-06-30,48.0,$4.28,11.22
2019-03-31,44.8,$4.15,10.79
2018-12-31,39.79,$4.32,9.21
2018-09-30,57.5,$3.89,14.78
2018-06-30,57.82,$3.56,16.24
2018-03-31,61.08,$3.19,19.15
2017-12-31,58.3,$2.99,19.5
2017-09-30,51.92,$3.10,16.75
2017-06-30,51.15,$3.04,16.83
2017-03-31,55.19,$3.03,18.21
2016-12-31,53.47,$2.88,18.57
2016-09-30,37.77,$2.67,14.15
2016-06-30,36.62,$2.36,15.52
2016-03-31,23.33,$2.33,10.01
2015-12-31,27.17,$2.21,12.29
2015-09-30,32.57,$2.22,14.67
2015-06-30,36.29,$2.29,15.85
2015-03-31,32.85,$2.00,16.42
2014-12-31,32.91,$1.83,17.98
2014-09-30,39.92,$1.59,25.11
2014-06-30,46.78,$1.38,33.9
2014-03-31,49.31,$1.55,31.81
