Voya Financial PE Ratio Historical Data,Voya Financial PE Ratio Historical Data,Voya Financial PE Ratio Historical Data,Voya Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,83.9,,11.05
2024-06-30,70.69,$7.59,9.31
2024-03-31,73.05,$7.04,10.38
2023-12-31,71.68,$5.43,13.2
2023-09-30,64.92,$6.10,10.64
2023-06-30,69.66,$5.63,12.37
2023-03-31,69.22,$4.79,14.45
2022-12-31,59.4,$4.40,13.5
2022-09-30,58.26,$5.99,9.73
2022-06-30,57.15,$5.32,10.74
2022-03-31,63.46,$8.28,7.66
2021-12-31,63.23,$16.33,3.87
2021-09-30,58.35,$15.54,3.76
2021-06-30,58.31,$11.75,4.96
2021-03-31,60.19,$7.67,7.85
2020-12-31,55.47,$-1.33,0.0
2020-09-30,45.09,$-9.35,0.0
2020-06-30,43.76,$-5.97,0.0
2020-03-31,37.92,$-3.91,0.0
2019-12-31,56.86,$-2.78,0.0
2019-09-30,50.64,$3.43,14.76
2019-06-30,51.28,$3.56,14.4
2019-03-31,46.32,$3.01,15.39
2018-12-31,37.21,$5.09,7.31
2018-09-30,46.04,$-13.31,0.0
2018-06-30,43.56,$-13.37,0.0
2018-03-31,46.79,$-13.44,0.0
2017-12-31,45.83,$-16.69,0.0
2017-09-30,36.94,$-1.79,0.0
2017-06-30,34.16,$-3.83,0.0
2017-03-31,35.14,$-3.93,0.0
2016-12-31,36.29,$-2.26,0.0
2016-09-30,26.66,$-0.01,0.0
2016-06-30,22.9,$1.40,16.36
2016-03-31,27.52,$1.85,14.88
2015-12-31,34.11,$1.70,20.07
2015-09-30,35.82,$7.85,4.56
2015-06-30,42.93,$9.25,4.64
2015-03-31,39.82,$8.97,4.44
2014-12-31,39.13,$9.18,4.26
2014-09-30,36.1,$5.60,6.45
2014-06-30,33.54,$3.69,9.09
2014-03-31,33.47,$4.05,8.26
