Amicus Therapeutics PE Ratio Historical Data,Amicus Therapeutics PE Ratio Historical Data,Amicus Therapeutics PE Ratio Historical Data,Amicus Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.97,,0.0
2024-06-30,9.92,$-0.38,0.0
2023-12-31,14.19,$-0.51,0.0
2023-09-30,12.16,$-0.59,0.0
2023-06-30,12.56,$-0.64,0.0
2023-03-31,11.09,$-0.70,0.0
2022-12-31,12.21,$-0.82,0.0
2022-09-30,10.44,$-0.92,0.0
2022-06-30,10.74,$-0.99,0.0
2022-03-31,9.47,$-0.97,0.0
2021-12-31,11.55,$-0.92,0.0
2021-09-30,9.55,$-0.90,0.0
2021-06-30,9.64,$-0.96,0.0
2021-03-31,9.88,$-0.97,0.0
2020-12-31,23.09,$-1.07,0.0
2020-09-30,14.12,$-1.15,0.0
2020-06-30,15.08,$-1.14,0.0
2020-03-31,9.24,$-1.30,0.0
2019-12-31,9.74,$-1.51,0.0
2019-09-30,8.02,$-1.57,0.0
2019-06-30,12.48,$-2.17,0.0
2019-03-31,13.6,$-2.14,0.0
2018-12-31,9.58,$-1.86,0.0
2018-09-30,12.09,$-1.61,0.0
2018-06-30,15.62,$-1.18,0.0
2018-03-31,15.04,$-1.54,0.0
2024-03-31,11.78,$-1.60,0.0
2017-12-31,14.39,$-1.83,0.0
2017-09-30,15.08,$-1.83,0.0
2017-06-30,10.07,$-1.47,0.0
2017-03-31,7.13,$-1.53,0.0
2016-12-31,4.97,$-1.49,0.0
2016-09-30,7.4,$-1.43,0.0
2016-06-30,5.46,$-1.42,0.0
2016-03-31,8.45,$-1.29,0.0
2015-12-31,9.7,$-1.19,0.0
2015-09-30,14.01,$-1.08,0.0
2015-06-30,14.15,$-0.98,0.0
2015-03-31,10.88,$-0.93,0.0
2014-12-31,8.32,$-0.93,0.0
2014-09-30,5.95,$-0.91,0.0
2014-06-30,3.34,$-0.98,0.0
2014-03-31,2.07,$-1.07,0.0
2013-12-31,2.35,$-1.17,0.0
2013-09-30,2.32,$-1.15,0.0
2013-06-30,2.33,$-1.20,0.0
2013-03-31,3.17,$-1.09,0.0
2012-12-31,2.68,$-1.09,0.0
2012-09-30,5.2,$-0.64,0.0
2012-06-30,5.5,$-0.58,0.0
2012-03-31,5.28,$-0.75,0.0
2011-12-31,3.44,$-0.79,0.0
2011-09-30,3.84,$-1.52,0.0
2011-06-30,5.94,$-1.80,0.0
2011-03-31,7.09,$-1.84,0.0
2010-12-31,4.7,$-1.99,0.0
2010-09-30,3.92,$-0.06,0.0
2010-06-30,2.24,$-0.09,0.0
2010-03-31,3.19,$-0.28,0.0
2009-12-31,3.97,$-0.29,0.0
