Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.3,,5.77
2024-06-30,14.15,$2.48,5.71
2024-03-31,14.17,$3.44,4.12
2023-12-31,14.88,$3.82,3.9
2023-09-30,13.72,$4.12,3.33
2023-06-30,12.31,$4.62,2.67
2023-03-31,8.83,$5.40,1.64
2022-12-31,9.02,$5.60,1.61
2022-09-30,9.83,$5.20,1.89
2022-06-30,8.49,$4.78,1.78
2022-03-31,9.49,$4.34,2.19
2021-12-31,7.04,$3.04,2.32
2021-09-30,5.98,$2.14,2.79
2021-06-30,6.68,$-0.26,0.0
2021-03-31,4.47,$-1.50,0.0
2020-09-30,3.76,$-1.16,0.0
2020-03-31,2.87,$-0.38,0.0
2019-12-31,8.32,$1.26,6.6
2019-09-30,7.51,$1.34,5.6
2019-06-30,8.02,$1.24,6.47
2019-03-31,8.17,$0.94,8.7
2018-12-31,6.68,$1.10,6.07
2018-09-30,6.16,$0.76,8.11
2018-06-30,5.11,$0.52,9.83
2018-03-31,7.19,$0.09,79.91
2017-12-31,5.23,$-0.01,0.0
2017-09-30,5.11,$0.37,13.8
2017-06-30,4.06,$-0.47,0.0
2017-03-31,4.93,$-0.46,0.0
2016-12-31,5.14,$-0.73,0.0
2016-09-30,4.75,$-2.29,0.0
2016-06-30,3.64,$-1.65,0.0
2016-03-31,2.97,$-1.63,0.0
2015-12-31,2.19,$-1.30,0.0
2015-09-30,2.21,$-1.36,0.0
2015-06-30,4.6,$-0.99,0.0
2015-03-31,3.06,$-0.67,0.0
2014-12-31,3.71,$-0.61,0.0
2014-09-30,7.22,$1.31,5.51
2014-06-30,7.44,$1.34,5.55
2014-03-31,6.45,$1.44,4.48
2013-12-31,6.76,$1.69,4.0
2013-09-30,7.6,$1.85,4.11
2013-06-30,6.58,$2.05,3.21
2013-03-31,8.02,$1.49,5.38
2012-12-31,9.42,$1.70,5.54
2012-09-30,11.1,$1.57,7.07
2012-06-30,9.08,$1.75,5.19
2012-03-31,12.72,$2.90,4.39
2011-12-31,11.74,$3.10,3.79
2011-09-30,10.52,$3.61,2.91
2011-06-30,15.73,$4.13,3.81
2011-03-31,18.56,$4.04,4.59
2010-12-31,17.3,$4.02,4.3
2010-09-30,16.39,$4.14,3.96
2010-06-30,15.41,$3.98,3.87
2010-03-31,19.73,$3.92,5.03
2009-12-31,21.14,$3.54,5.97
