Casella Waste Systems PE Ratio Historical Data,Casella Waste Systems PE Ratio Historical Data,Casella Waste Systems PE Ratio Historical Data,Casella Waste Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,106.3,,322.12
2024-06-30,99.22,$0.33,300.67
2024-03-31,98.87,$0.31,318.94
2023-12-31,85.46,$0.45,189.91
2023-09-30,76.3,$0.64,119.22
2023-06-30,90.45,$0.77,117.47
2023-03-31,82.66,$1.01,81.84
2022-12-31,79.31,$1.02,77.75
2022-09-30,76.39,$1.04,73.45
2022-06-30,72.68,$0.91,79.87
2022-03-31,87.65,$0.80,109.56
2021-12-31,85.42,$0.80,106.78
2021-09-30,75.94,$1.86,40.83
2021-06-30,63.43,$1.86,34.1
2021-03-31,63.57,$1.88,33.81
2020-12-31,61.95,$1.82,34.04
2020-09-30,55.85,$0.77,72.53
2020-06-30,52.12,$0.72,72.39
2020-03-31,39.06,$0.72,54.25
2019-12-31,46.03,$0.38,121.13
2019-09-30,42.94,$0.69,62.23
2019-06-30,39.63,$0.47,84.32
2018-12-31,28.49,$0.13,219.15
2018-09-30,31.06,$0.91,34.13
2018-06-30,25.61,$0.37,69.22
2018-03-31,23.38,$0.61,38.33
2017-12-31,23.02,$-0.58,0.0
2019-03-31,35.56,$-1.05,0.0
2017-09-30,18.8,$-1.30,0.0
2017-06-30,16.41,$-1.40,0.0
2017-03-31,14.11,$0.00,0.0
2016-12-31,12.41,$-0.18,0.0
2016-09-30,10.3,$-0.06,0.0
2016-06-30,7.85,$-0.18,0.0
2016-03-31,6.7,$-0.27,0.0
2015-12-31,5.98,$-0.31,0.0
2015-09-30,5.8,$-0.14,0.0
2015-06-30,5.61,$-0.20,0.0
2015-03-31,5.5,$-0.22,0.0
2014-12-31,4.04,$0.01,404.0
2014-10-31,4.5,0,0.0
2014-09-30,3.85,0,0.0
2014-07-31,4.72,$-0.31,0.0
2014-06-30,5.01,$-0.31,0.0
2014-04-30,5.1,$-0.30,0.0
2014-03-31,5.11,$-0.30,0.0
2014-01-31,5.13,0,0.0
2013-10-31,5.91,0,0.0
2013-07-31,4.77,0,0.0
2013-04-30,4.36,0,0.0
2013-01-31,4.54,0,0.0
2012-10-31,4.58,0,0.0
2012-07-31,5.05,0,0.0
2012-04-30,6.03,0,0.0
2012-01-31,6.86,0,0.0
2011-10-31,6.28,0,0.0
2011-07-31,6.29,0,0.0
2011-04-30,6.76,0,0.0
2011-01-31,8.02,0,0.0
2010-10-31,4.93,0,0.0
2010-07-31,3.99,0,0.0
2010-04-30,5.16,0,0.0
2010-01-31,4.35,0,0.0
2009-10-31,2.79,0,0.0
