Comstock Resources PE Ratio Historical Data,Comstock Resources PE Ratio Historical Data,Comstock Resources PE Ratio Historical Data,Comstock Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.61,,0.0
2024-06-30,10.38,$-0.04,0.0
2024-03-31,9.28,$0.22,42.18
2023-12-31,8.85,$0.76,11.64
2023-09-30,10.89,$2.24,4.86
2023-06-30,11.34,$3.47,3.27
2023-03-31,10.41,$5.00,2.08
2022-12-31,13.09,$4.01,3.26
2022-09-30,16.4,$3.44,4.77
2022-06-30,11.46,$0.90,12.73
2022-03-31,12.38,$-1.26,0.0
2021-12-31,7.67,$-1.36,0.0
2021-09-30,9.81,$-2.36,0.0
2021-06-30,6.33,$-1.67,0.0
2021-03-31,5.25,$-1.16,0.0
2020-12-31,4.14,$-0.41,0.0
2020-09-30,4.15,$-0.52,0.0
2020-06-30,4.15,$0.04,103.84
2020-03-31,5.11,$0.53,9.64
2019-12-31,7.8,$0.51,15.3
2019-09-30,7.39,$0.80,9.23
2019-06-30,5.28,$0.81,6.52
2019-03-31,6.57,$-1.61,0.0
2018-12-31,4.3,$-4.52,0.0
2018-09-30,7.95,$-7.86,0.0
2018-06-30,9.97,$-9.53,0.0
2018-03-31,6.93,$-8.76,0.0
2017-12-31,8.02,$-7.59,0.0
2017-09-30,5.77,$-9.21,0.0
2017-06-30,6.7,$-9.86,0.0
2017-03-31,8.75,$-7.99,0.0
2016-12-31,9.34,$-12.08,0.0
2016-09-30,7.25,$-38.85,0.0
2016-06-30,3.98,$-95.58,0.0
2016-03-31,3.63,$-110.65,0.0
2015-12-31,8.87,$-110.90,0.0
2015-09-30,9.06,$-79.85,0.0
2015-06-30,15.79,$-20.60,0.0
2014-12-31,32.29,$-5.85,0.0
2014-09-30,86.87,$-3.95,0.0
2014-06-30,133.83,$-12.30,0.0
2014-03-31,105.53,$-15.10,0.0
2013-12-31,83.93,$-1.80,0.0
2015-03-31,16.93,$-0.65,0.0
2013-09-30,72.46,$-0.50,0.0
2013-06-30,71.03,$-1.20,0.0
2013-03-31,72.85,$-13.85,0.0
2012-12-31,67.78,$-10.80,0.0
2012-09-30,82.4,$-6.85,0.0
2012-06-30,73.61,$-3.40,0.0
2012-03-31,70.96,$-3.75,0.0
2011-12-31,68.59,$-3.65,0.0
2011-09-30,69.31,$-1.45,0.0
2011-06-30,129.06,$-2.10,0.0
2011-03-31,138.7,$-2.70,0.0
2010-12-31,110.1,$-2.15,0.0
2010-09-30,100.82,$-0.65,0.0
2010-06-30,124.27,$-1.55,0.0
2010-03-31,142.56,$-2.65,0.0
2009-12-31,181.87,$-4.05,0.0
