Twist Bioscience PE Ratio Historical Data,Twist Bioscience PE Ratio Historical Data,Twist Bioscience PE Ratio Historical Data,Twist Bioscience PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.52,,0.0
2024-06-30,49.28,$-3.82,0.0
2024-03-31,34.31,$-3.36,0.0
2023-12-31,36.86,$-3.61,0.0
2023-09-30,20.26,$-3.60,0.0
2023-06-30,20.46,$-3.70,0.0
2023-03-31,15.08,$-3.77,0.0
2022-12-31,23.81,$-3.86,0.0
2022-09-30,35.24,$-4.03,0.0
2022-06-30,34.96,$-3.96,0.0
2022-03-31,49.38,$-3.70,0.0
2021-12-31,77.39,$-3.35,0.0
2021-09-30,106.97,$-3.16,0.0
2021-06-30,133.25,$-2.86,0.0
2021-03-31,123.86,$-2.71,0.0
2020-12-31,141.29,$-2.78,0.0
2020-09-30,75.97,$-3.75,0.0
2020-06-30,45.3,$-4.17,0.0
2020-03-31,30.58,$-4.42,0.0
2019-12-31,21.0,$-4.50,0.0
2019-09-30,23.88,$-3.99,0.0
