Eldorado Gold PE Ratio Historical Data,Eldorado Gold PE Ratio Historical Data,Eldorado Gold PE Ratio Historical Data,Eldorado Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.01,,21.44
2024-06-30,14.79,$0.84,17.61
2024-03-31,14.07,$0.57,24.68
2023-12-31,12.97,$0.53,24.47
2023-09-30,8.91,$0.31,28.74
2023-06-30,10.1,$0.08,126.25
2023-03-31,10.36,$-0.04,0.0
2022-12-31,8.36,$-1.90,0.0
2022-09-30,6.03,$-2.37,0.0
2022-06-30,6.39,$-2.39,0.0
2022-03-31,11.21,$-2.58,0.0
2021-12-31,9.35,$-0.79,0.0
2021-09-30,7.73,$-0.42,0.0
2021-06-30,9.95,$0.10,99.5
2021-03-31,10.79,$0.67,16.1
2020-12-31,13.27,$0.59,22.49
2020-09-30,10.55,$1.03,10.24
2020-06-30,9.7,$0.83,11.69
2020-03-31,6.17,$0.65,9.49
2019-12-31,8.03,$0.51,15.75
2019-09-30,7.77,$-1.44,0.0
2019-06-30,5.82,$-2.27,0.0
2019-03-31,4.63,$-2.30,0.0
2018-12-31,2.88,$-2.28,0.0
2018-09-30,4.42,$-0.95,0.0
2018-03-31,4.2,$-0.05,0.0
2017-12-31,7.15,$-0.05,0.0
2017-09-30,11.0,$-0.15,0.0
2017-06-30,13.2,$0.05,264.0
2017-03-31,17.05,$-2.35,0.0
2016-12-31,16.02,$-2.40,0.0
2016-09-30,19.55,$-10.80,0.0
2016-06-30,22.39,$-11.60,0.0
2016-03-31,15.72,$-10.70,0.0
2015-12-31,14.78,$-10.75,0.0
2015-09-30,16.02,$-2.00,0.0
2015-06-30,20.55,$-1.50,0.0
2015-03-31,22.79,$0.05,455.78
2014-12-31,30.14,$0.35,86.12
2018-06-30,4.97,$0.45,11.04
2014-09-30,33.42,$-4.20,0.0
2014-06-30,37.84,$-4.10,0.0
2014-03-31,27.63,$-4.05,0.0
2013-12-31,28.14,$-4.55,0.0
2013-09-30,33.19,$1.05,31.61
2013-06-30,30.39,$1.35,22.51
2013-03-31,46.86,$1.40,33.47
2012-12-31,62.95,$2.25,27.98
2012-09-30,74.48,$2.25,33.1
2012-06-30,59.89,$2.65,22.6
2012-03-31,66.79,$3.00,22.26
2011-12-31,66.25,$2.95,22.46
2011-09-30,82.82,$2.55,32.48
2011-06-30,71.0,$2.05,34.64
2011-03-31,78.33,$1.90,41.22
2010-12-31,89.19,$1.90,46.94
2010-09-30,88.8,$1.90,46.74
2010-06-30,86.26,$1.85,46.63
2010-03-31,57.85,$1.65,35.06
2009-12-31,67.86,$1.35,50.27
