LXP Industrial Trust PE Ratio Historical Data,LXP Industrial Trust PE Ratio Historical Data,LXP Industrial Trust PE Ratio Historical Data,LXP Industrial Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.83,,245.75
2024-03-31,8.78,$0.04,219.49
2023-12-31,9.52,$0.08,118.96
2023-09-30,8.43,$0.17,49.58
2023-06-30,9.11,$0.14,65.05
2023-03-31,9.51,$0.25,38.03
2022-12-31,9.13,$0.36,25.35
2024-06-30,9.0,$0.26,34.63
2022-09-30,8.24,$1.15,7.17
2022-06-30,9.54,$1.09,8.75
2022-03-31,13.79,$1.21,11.39
2021-12-31,13.61,$1.32,10.31
2021-09-30,11.03,$0.79,13.96
2021-06-30,10.25,$0.92,11.14
2021-03-31,9.45,$0.72,13.12
2020-12-31,8.94,$0.64,13.97
2020-09-30,8.71,$0.60,14.52
2020-06-30,8.71,$1.04,8.37
2020-03-31,8.11,$1.07,7.58
2019-12-31,8.59,$1.12,7.67
2019-09-30,8.21,$0.89,9.22
2019-06-30,7.46,$1.20,6.22
2019-03-31,7.1,$1.10,6.46
2018-12-31,6.37,$0.92,6.92
2018-09-30,6.3,$0.94,6.7
2018-06-30,6.48,$0.06,108.05
2018-03-31,5.73,$0.09,63.64
2017-12-31,6.87,$0.22,31.22
2017-09-30,7.14,$-0.01,0.0
2017-06-30,6.81,$0.17,40.06
2016-12-31,7.17,$0.36,19.91
2016-09-30,6.72,$0.44,15.28
2016-06-30,6.49,$0.72,9.02
2016-03-31,5.43,$0.49,11.08
2015-12-31,4.95,$0.48,10.31
2017-03-31,6.74,$0.48,14.05
2015-09-30,4.91,$0.46,10.67
2015-06-30,5.03,$0.66,7.63
2015-03-31,5.72,$0.51,11.22
2014-12-31,6.28,$0.37,16.98
2014-09-30,5.52,$0.18,30.66
2014-06-30,6.1,$0.02,305.07
2014-03-31,5.95,$-0.03,0.0
2013-12-31,5.49,$-0.07,0.0
2013-09-30,5.94,$-0.07,0.0
2013-06-30,6.1,$0.88,6.93
2013-03-31,6.08,$0.86,7.07
2012-12-31,5.32,$0.89,5.98
2012-09-30,4.85,$0.98,4.95
2012-06-30,4.18,$-0.22,0.0
2012-03-31,4.37,$-0.53,0.0
2011-12-31,3.59,$-0.73,0.0
2011-09-30,3.09,$-0.74,0.0
2011-06-30,4.23,$-0.50,0.0
2011-03-31,4.28,$-0.40,0.0
2010-12-31,3.59,$-0.62,0.0
2010-09-30,3.19,$-0.91,0.0
2010-06-30,2.64,$-1.78,0.0
2009-12-31,2.59,$-2.27,0.0
2009-09-30,2.14,$-2.11,0.0
