Sapiens PE Ratio Historical Data,Sapiens PE Ratio Historical Data,Sapiens PE Ratio Historical Data,Sapiens PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.38,,29.82
2024-06-30,33.66,$1.22,27.59
2024-03-31,31.62,$1.17,27.02
2023-12-31,28.45,$1.12,25.4
2023-09-30,27.95,$1.06,26.37
2023-06-30,25.93,$1.02,25.42
2023-03-31,20.92,$0.95,22.02
2022-12-31,17.8,$0.94,18.94
2022-09-30,18.48,$0.95,19.45
2022-06-30,23.07,$0.95,24.28
2022-03-31,23.74,$0.93,25.53
2021-12-31,32.21,$0.86,37.45
2021-09-30,26.91,$0.76,35.41
2021-06-30,24.56,$0.70,35.09
2021-03-31,29.39,$0.69,42.6
2020-12-31,28.3,$0.64,44.22
2020-09-30,28.27,$0.62,45.6
2020-06-30,25.87,$0.59,43.85
2020-03-31,17.48,$0.55,31.79
2019-12-31,21.14,$0.52,40.66
2019-09-30,18.05,$0.46,39.25
2019-06-30,15.1,$0.41,36.82
2019-03-31,13.88,$0.31,44.78
2018-12-31,10.02,$0.27,37.11
2018-09-30,11.8,$0.27,43.71
2018-06-30,8.73,$0.23,37.95
2018-03-31,7.62,$0.12,63.5
2017-12-31,10.29,$0.01,0.0
2017-09-30,11.59,$0.02,579.68
2017-06-30,9.83,$0.07,140.4
2017-03-31,11.31,$0.25,45.25
2016-12-31,12.59,$0.40,31.49
2016-09-30,11.22,$0.44,25.49
2016-06-30,10.28,$0.42,24.49
2016-03-31,10.34,$0.41,25.21
2015-12-31,8.8,$0.40,22.0
2015-09-30,9.94,$0.37,26.86
2015-06-30,8.96,$0.36,24.88
2015-03-31,6.96,$0.32,21.76
2014-12-31,6.26,$0.29,21.58
2014-09-30,6.28,$0.28,22.44
2014-06-30,6.79,$0.27,25.16
2014-03-31,6.89,$0.27,25.51
2013-12-31,6.55,$0.27,24.25
2013-09-30,5.14,$0.27,19.03
2013-06-30,4.87,$0.28,17.41
2013-03-31,4.62,$0.28,16.5
2012-12-31,3.19,$0.28,11.39
2012-09-30,2.9,$0.22,13.19
2012-06-30,2.87,$0.19,15.11
2012-03-31,2.81,$0.20,14.03
2011-12-31,3.0,$0.21,14.28
2011-09-30,2.34,$0.26,9.02
2011-06-30,2.84,$0.28,10.14
2011-03-31,3.18,$0.27,11.78
2010-12-31,1.83,$0.27,6.79
2010-09-30,2.23,$0.26,8.59
2010-06-30,2.02,$0.24,8.41
2010-03-31,1.7,$0.22,7.72
2009-12-31,1.25,$0.20,6.25
