Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,278.85,,24.16
2024-06-30,256.22,$11.54,22.2
2024-03-31,240.55,$11.08,21.71
2023-12-31,269.88,$10.48,25.75
2023-09-30,277.57,$10.32,26.9
2023-06-30,291.57,$9.83,29.66
2023-03-31,277.95,$9.78,28.42
2022-12-31,296.52,$10.19,29.1
2022-09-30,222.69,$10.14,21.96
2022-06-30,228.52,$10.26,22.27
2022-03-31,235.89,$10.04,23.5
2021-12-31,285.34,$9.79,29.15
2021-09-30,239.01,$9.44,25.32
2021-06-30,266.91,$8.89,30.02
2021-03-31,259.67,$8.50,30.55
2020-12-31,250.84,$8.52,29.44
2020-09-30,272.13,$8.49,32.05
2020-06-30,219.61,$8.57,25.63
2020-03-31,180.55,$8.76,20.61
2019-12-31,211.13,$8.51,24.81
2019-09-30,198.35,$7.94,24.98
2019-06-30,201.33,$7.72,26.08
2019-03-31,168.97,$7.67,22.03
2018-12-31,140.77,$7.66,18.38
2018-09-30,146.92,$6.79,21.64
2018-06-30,136.07,$6.87,19.81
2018-03-31,137.98,$5.18,26.64
2017-12-31,141.38,$12.99,10.88
2017-09-30,128.75,$13.66,9.43
2017-06-30,121.81,$13.33,9.14
2017-03-31,114.42,$14.46,7.91
2016-12-31,120.79,$2.59,46.64
2016-09-30,115.47,$2.89,39.95
2016-06-30,109.09,$2.67,40.86
2016-03-31,109.96,$2.55,43.12
2015-12-31,98.73,$6.05,16.32
2015-09-30,96.22,$5.88,16.36
2015-06-30,102.54,$4.78,21.45
2015-03-31,112.7,$4.77,23.63
2014-12-31,106.89,$4.76,22.46
2014-09-30,95.97,$4.61,20.82
2014-06-30,94.28,$4.77,19.76
2014-03-31,86.74,$4.67,18.57
2013-12-31,80.91,$4.73,17.11
2013-09-30,76.66,$4.69,16.35
2013-06-30,65.44,$4.70,13.92
2013-03-31,61.78,$5.60,11.03
2012-12-31,59.1,$5.60,10.55
2012-09-30,57.72,$5.45,10.59
2012-06-30,55.92,$6.31,8.86
2012-03-31,63.07,$5.55,11.36
2011-12-31,58.12,$5.56,10.45
2011-09-30,51.75,$5.63,9.19
2011-06-30,64.3,$5.37,11.97
2011-03-31,60.29,$5.04,11.96
2010-12-31,60.42,$4.81,12.56
2010-09-30,54.72,$4.74,11.54
2010-06-30,42.57,$4.62,9.21
2010-03-31,48.21,$3.98,12.11
2009-12-31,52.5,$3.79,13.85
