Newell Brands PE Ratio Historical Data,Newell Brands PE Ratio Historical Data,Newell Brands PE Ratio Historical Data,Newell Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.68,,0.0
2024-06-30,6.35,$-0.65,0.0
2024-03-31,7.88,$-0.72,0.0
2023-12-31,8.44,$-1.30,0.0
2023-09-30,8.7,$-1.02,0.0
2023-06-30,8.33,$0.00,0.0
2022-12-31,12.22,$0.51,23.97
2022-09-30,12.75,$1.33,9.59
2022-06-30,17.27,$1.01,17.09
2022-03-31,19.21,$0.96,20.01
2021-12-31,19.41,$0.87,22.31
2023-03-31,11.81,$0.86,13.73
2021-09-30,19.48,$1.41,13.81
2021-06-30,23.95,$1.68,14.26
2021-03-31,23.16,$1.40,16.54
2020-12-31,18.18,$-1.83,0.0
2020-09-30,14.54,$-0.26,0.0
2020-06-30,13.27,$-2.45,0.0
2020-03-31,10.91,$-2.42,0.0
2019-12-31,15.56,$0.24,64.81
2019-09-30,14.97,$-1.17,0.0
2019-06-30,12.16,$-14.79,0.0
2019-03-31,11.89,$-14.73,0.0
2018-12-31,14.21,$-14.26,0.0
2018-09-30,15.52,$-11.34,0.0
2018-06-30,19.51,$4.24,4.6
2018-03-31,19.1,$4.43,4.31
2017-12-31,22.97,$5.63,4.08
2017-09-30,31.48,$2.59,12.15
2017-06-30,39.37,$2.49,15.81
2017-03-31,34.48,$2.33,14.8
2016-12-31,32.51,$1.17,27.79
2016-09-30,38.19,$0.88,43.4
2016-06-30,35.1,$1.00,35.1
2016-03-31,31.88,$1.25,25.51
2015-12-31,31.57,$1.30,24.29
2015-09-30,28.32,$1.44,19.67
2015-06-30,29.19,$1.38,21.15
2015-03-31,27.61,$1.37,20.15
2014-12-31,26.79,$1.36,19.7
2014-09-30,24.09,$1.58,15.24
2014-06-30,21.58,$1.80,11.99
2014-03-31,20.7,$1.63,12.7
2013-12-31,22.33,$1.63,13.7
2013-09-30,18.86,$1.57,12.01
2013-06-30,17.89,$1.28,13.98
2013-03-31,17.69,$1.29,13.72
2012-12-31,15.0,$1.37,10.95
2012-09-30,12.77,$1.29,9.9
2012-06-30,12.06,$0.31,38.91
2012-03-31,11.78,$0.42,28.05
2011-12-31,10.64,$0.40,26.59
2011-09-30,7.78,$0.38,20.46
2011-06-30,10.28,$1.08,9.52
2011-03-31,12.4,$1.00,12.4
2010-12-31,11.76,$0.94,12.51
2010-09-30,11.48,$0.89,12.9
2010-06-30,9.41,$1.08,8.71
2010-03-31,9.74,$1.04,9.36
2009-12-31,9.58,$0.97,9.88
