MKS Instruments PE Ratio Historical Data,MKS Instruments PE Ratio Historical Data,MKS Instruments PE Ratio Historical Data,MKS Instruments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,102.54,,932.18
2024-06-30,130.34,$0.11,1184.88
2024-03-31,132.53,$-26.69,0.0
2023-12-31,102.32,$-27.55,0.0
2023-09-30,85.84,$-25.72,0.0
2023-06-30,106.97,$-26.21,0.0
2023-03-31,87.5,$2.58,33.92
2022-12-31,83.46,$5.79,14.41
2022-09-30,81.18,$7.67,10.58
2022-06-30,100.63,$9.96,10.1
2022-03-31,146.81,$10.27,14.3
2021-12-31,170.22,$9.90,17.19
2021-09-30,147.28,$9.29,15.85
2021-06-30,173.42,$8.57,20.24
2021-03-31,180.48,$7.27,24.83
2020-12-31,146.27,$6.32,23.14
2020-09-30,106.04,$5.01,21.16
2020-06-30,109.75,$4.21,26.07
2020-03-31,78.78,$3.57,22.07
2019-12-31,106.21,$2.55,41.65
2019-09-30,88.92,$3.10,28.68
2019-06-30,74.86,$3.94,19.0
2019-03-31,89.19,$5.47,16.3
2018-12-31,61.78,$7.14,8.65
2018-09-30,76.43,$7.23,10.57
2018-06-30,91.06,$6.91,13.18
2018-03-31,109.85,$6.88,15.97
2017-12-31,89.62,$5.81,15.42
2017-09-30,89.42,$5.00,17.88
2017-06-30,63.58,$3.79,16.77
2016-12-31,55.85,$1.93,28.94
2016-09-30,46.62,$1.58,29.5
2016-06-30,40.22,$2.16,18.62
2016-03-31,35.02,$2.55,13.73
2015-12-31,33.31,$2.84,11.73
2017-03-31,64.8,$2.99,21.67
2015-09-30,30.88,$2.45,12.6
2015-06-30,34.77,$2.44,14.25
2015-03-31,30.84,$2.40,12.85
2014-12-31,33.23,$2.15,15.46
2014-09-30,30.18,$1.56,19.34
2014-03-31,26.74,$1.15,23.25
2013-12-31,26.62,$0.68,39.15
2013-09-30,23.53,$0.38,61.93
2013-06-30,23.34,$0.38,61.42
2013-03-31,23.78,$0.59,40.31
2012-12-31,22.41,$0.91,24.63
2012-09-30,22.01,$1.26,17.47
2012-06-30,24.78,$1.78,13.92
2012-03-31,25.21,$2.16,11.67
2011-12-31,23.63,$2.46,9.61
2011-09-30,18.33,$2.73,6.71
2011-06-30,22.17,$2.92,7.59
2011-03-31,27.78,$2.59,10.72
2010-12-31,20.33,$2.62,7.76
2010-09-30,14.92,$2.50,5.97
2014-06-30,28.1,$2.04,13.78
2010-06-30,15.54,$1.56,9.96
2010-03-31,16.26,$-3.40,0.0
2009-12-31,14.44,$-4.32,0.0
